t	dx	dy	dz	da	db	dc	
0.00325	1.00007	-1.89551e-07	4.51151e-13	9.82299e-09	1.99948	0.000159749	
0.0033	1.00007	-1.92733e-07	4.79204e-13	9.98787e-09	1.99948	0.000162281	
0.00335	1.00007	-1.95914e-07	5.08251e-13	1.01528e-08	1.99948	0.000164813	
0.0034	1.00007	-1.99096e-07	5.38309e-13	1.03176e-08	1.99948	0.000167345	
0.00345	1.00007	-2.02278e-07	5.69393e-13	1.04825e-08	1.99948	0.000169877	
0.0035	1.00007	-2.05459e-07	6.01519e-13	1.06474e-08	1.99948	0.000172409	
0.00355	1.00007	-2.08641e-07	6.34701e-13	1.08123e-08	1.99948	0.000174941	
0.0036	1.00007	-2.11823e-07	6.68955e-13	1.09772e-08	1.99948	0.000177473	
0.00365	1.00007	-2.15004e-07	7.04298e-13	1.1142e-08	1.99948	0.000180004	
0.0037	1.00007	-2.18186e-07	7.40744e-13	1.13069e-08	1.99948	0.000182536	
0.00375	1.00007	-2.21367e-07	7.78309e-13	1.14718e-08	1.99948	0.000185068	
0.0038	1.00007	-2.24549e-07	8.17008e-13	1.16367e-08	1.99948	0.0001876	
0.00385	1.00007	-2.27731e-07	8.56858e-13	1.18016e-08	1.99948	0.000190132	
0.0039	1.00007	-2.30912e-07	8.97872e-13	1.19664e-08	1.99948	0.000192664	
0.00395	1.00007	-2.34094e-07	9.40068e-13	1.21313e-08	1.99948	0.000195195	
0.004	1.00007	-2.37276e-07	9.83461e-13	1.22962e-08	1.99948	0.000197727	
0.00405	1.00007	-2.40457e-07	1.02807e-12	1.24611e-08	1.99948	0.000200259	
0.0041	1.00007	-2.43639e-07	1.0739e-12	1.2626e-08	1.99948	0.000202791	
0.00415	1.00007	-2.4682e-07	1.12097e-12	1.27908e-08	1.99948	0.000205323	
0.0042	1.00007	-2.50002e-07	1.16931e-12	1.29557e-08	1.99948	0.000207854	
0.00425	1.00007	-2.53184e-07	1.21891e-12	1.31206e-08	1.99948	0.000210386	
0.0043	1.00007	-2.56365e-07	1.26981e-12	1.32855e-08	1.99948	0.000212918	
0.00435	1.00007	-2.59547e-07	1.32202e-12	1.34503e-08	1.99948	0.00021545	
0.0044	1.00007	-2.62728e-07	1.37554e-12	1.36152e-08	1.99948	0.000217982	
0.00445	1.00007	-2.6591e-07	1.4304e-12	1.37801e-08	1.99948	0.000220513	
0.0045	1.00007	-2.69091e-07	1.48661e-12	1.3945e-08	1.99948	0.000223045	
0.00455	1.00007	-2.72273e-07	1.54419e-12	1.41098e-08	1.99948	0.000225577	
0.0046	1.00007	-2.75454e-07	1.60315e-12	1.42747e-08	1.99948	0.000228109	
0.00465	1.00007	-2.78636e-07	1.66351e-12	1.44396e-08	1.99948	0.00023064	
0.0047	1.00007	-2.81817e-07	1.72528e-12	1.46045e-08	1.99948	0.000233172	
0.00475	1.00007	-2.84999e-07	1.78849e-12	1.47693e-08	1.99948	0.000235704	
