t	X	z11	Z	dz11	dZ	
0.0488889	1.60409e-11	0.0003374	-0.000446257	0.00987937	-0.0111384	
0.05	1.60672e-11	0.00034807	-0.000458487	0.00991055	-0.0111257	
0.05	1.65058e-11	0.000349809	-0.000459179	0.00970861	-0.0110385	
0.052	1.6809e-11	0.000369226	-0.000481235	0.00975511	-0.0110084	
0.053	1.69201e-11	0.000379039	-0.000492206	0.0097636	-0.0109903	
0.058	1.62591e-11	0.000427697	-0.000546878	0.00988192	-0.0109122	
0.0588889	1.45912e-11	0.000435613	-0.000556408	0.0100118	-0.0109168	
0.06	1.45728e-11	0.000446443	-0.000568476	0.0100273	-0.0108961	
0.06	1.69096e-11	0.00044771	-0.00056871	0.00985034	-0.0108648	
0.062	1.75022e-11	0.000467411	-0.000590431	0.00986842	-0.0108246	
0.063	1.7699e-11	0.000477302	-0.000601205	0.00986695	-0.0108038	
0.068	1.5865e-11	0.000526428	-0.000654949	0.00993097	-0.0107023	
0.0688889	1.20049e-11	0.000534569	-0.000664412	0.010043	-0.0106888	
0.07	1.19555e-11	0.000545445	-0.000676262	0.0100503	-0.0106652	
0.07	1.72905e-11	0.000546454	-0.000676323	0.00988878	-0.0106571	
0.072	1.84678e-11	0.000566231	-0.000697634	0.00989246	-0.0106137	
0.073	1.88409e-11	0.000576128	-0.000708193	0.00988598	-0.010592	
0.078	1.7654e-11	0.000625327	-0.000760882	0.00992231	-0.010482	
0.0788889	1.43561e-11	0.000633554	-0.000770196	0.0100246	-0.010461	
0.08	1.4824e-11	0.000644418	-0.00078181	0.0100277	-0.0104365	
0.08	1.93657e-11	0.000645291	-0.000781801	0.009875	-0.0104385	
0.082	1.99955e-11	0.000665041	-0.000802678	0.0098714	-0.0103942	
0.083	2.00895e-11	0.000674908	-0.000813016	0.00986238	-0.0103724	
0.088	2.01765e-11	0.000723977	-0.000864611	0.0098845	-0.0102596	
0.0888889	1.97523e-11	0.000732219	-0.000873747	0.00998161	-0.0102351	
0.09	1.98321e-11	0.00074304	-0.000885119	0.00998251	-0.0102104	
0.09	2.04843e-11	0.000743844	-0.000885081	0.00983465	-0.0102173	
0.092	2.05997e-11	0.000763513	-0.000905516	0.0098273	-0.010173	
0.093	2.06328e-11	0.000773331	-0.000915634	0.00981695	-0.0101513	
0.098	2.08101e-11	0.000822166	-0.000966127	0.00983156	-0.0100379	
0.0988889	2.08641e-11	0.000830386	-0.000975076	0.00992583	-0.0100116	
0.1	2.08919e-11	0.000841147	-0.000986204	0.00992553	-0.00998691	
0.1	2.08491e-11	0.000841916	-0.000986152	0.00978037	-0.00999653	
0.102	2.08982e-11	0.000861476	-0.00100615	0.00977098	-0.00995251	
0.103	2.09157e-11	0.000871236	-0.00101604	0.0097599	-0.00993101	
0.108	2.10096e-11	0.000919781	-0.00106544	0.00977029	-0.00981786	
0.108889	2.10391e-11	0.000927959	-0.0010742	0.00986291	-0.00979032	
0.11	2.10535e-11	0.000938652	-0.00108509	0.0098619	-0.00976581	
0.11	2.10292e-11	0.000939402	-0.00108502	0.0097183	-0.00977737	
0.112	2.10545e-11	0.000958839	-0.00110458	0.00970772	-0.00973371	
0.113	2.10631e-11	0.000968533	-0.00111426	0.00969618	-0.00971247	
0.118	2.11102e-11	0.00101676	-0.00116257	0.00970394	-0.00959981	
0.118889	2.11258e-11	0.00102488	-0.00117114	0.00979552	-0.00957134	
0.12	2.11326e-11	0.0010355	-0.00118178	0.00979403	-0.00954699	
0.12	2.11189e-11	0.00103624	-0.00118171	0.00965142	-0.00956017	
0.122	2.11309e-11	0.00105555	-0.00120084	0.00964005	-0.00951691	
0.123	2.11346e-11	0.00106517	-0.0012103	0.00962819	-0.00949593	
0.128	2.11554e-11	0.00111305	-0.00125753	0.00963408	-0.00938389	
0.128889	2.11631e-11	0.00112112	-0.00126591	0.0097249	-0.0093546	
0.13	2.11657e-11	0.00113166	-0.00127632	0.00972305	-0.00933044	
0.13	2.11579e-11	0.0011324	-0.00127624	0.00958115	-0.00934507	
0.132	2.11624e-11	0.00115156	-0.00129493	0.00956918	-0.00930224	
0.133	2.11634e-11	0.00116111	-0.00130418	0.00955707	-0.00928152	
0.138	2.11693e-11	0.00120864	-0.00135034	0.00956145	-0.00917016	
0.138889	2.11727e-11	0.00121664	-0.00135854	0.00965166	-0.0091401	
0.14	2.11729e-11	0.0012271	-0.00136872	0.0096495	-0.00911613	
0.14	2.11685e-11	0.00122783	-0.00136863	0.00950817	-0.00913217	
0.142	2.11686e-11	0.00124685	-0.0013869	0.00949569	-0.00908976	
0.143	2.1168e-11	0.00125633	-0.00139593	0.00948336	-0.00906932	
0.148	2.11656e-11	0.00130348	-0.00144104	0.00948641	-0.00895867	
0.148889	2.11665e-11	0.00131142	-0.00144906	0.00957608	-0.00892786	
0.15	2.11654e-11	0.0013218	-0.001459	0.00957363	-0.0089041	
0.15	2.11628e-11	0.00132253	-0.0014589	0.00943281	-0.00892152	
0.152	2.11605e-11	0.00134139	-0.00147675	0.00941986	-0.00887955	
0.153	2.1159e-11	0.0013508	-0.00148558	0.00940732	-0.00885938	
0.158	2.1152e-11	0.00139757	-0.00152963	0.00940913	-0.00874948	
0.158889	2.11515e-11	0.00140544	-0.00153747	0.00949827	-0.00871794	
0.16	2.11496e-11	0.00141573	-0.00154718	0.00949556	-0.00869438	
0.16	2.11481e-11	0.00141646	-0.00154708	0.00935521	-0.00871316	
0.162	2.11446e-11	0.00143517	-0.00156451	0.00934182	-0.00867164	
0.163	2.11426e-11	0.0014445	-0.00157313	0.00932907	-0.00865175	
0.168	2.1133e-11	0.00149087	-0.00161615	0.00932967	-0.00854264	
0.168889	2.11317e-11	0.00149868	-0.00162381	0.00941832	-0.00851038	
0.17	2.11294e-11	0.00150888	-0.00163329	0.00941534	-0.00848704	
0.17	2.11285e-11	0.0015096	-0.00163319	0.00927545	-0.00850716	
0.172	2.11242e-11	0.00152815	-0.0016502	0.00926163	-0.00846609	
0.173	2.11219e-11	0.0015374	-0.00165862	0.00924869	-0.00844649	
0.178	2.11109e-11	0.00158337	-0.00170062	0.0092481	-0.00833819	
0.178889	2.11092e-11	0.00159111	-0.0017081	0.00933625	-0.00830523	
0.18	2.11067e-11	0.00160122	-0.00171736	0.009333	-0.00828211	
0.18	2.11061e-11	0.00160194	-0.00171724	0.00919357	-0.00830356	
0.182	2.11017e-11	0.00162033	-0.00173385	0.00917932	-0.00826297	
0.183	2.10993e-11	0.00162949	-0.00174206	0.00916618	-0.00824366	
0.188	2.10875e-11	0.00167505	-0.00178306	0.00916442	-0.0081362	
0.188889	2.10856e-11	0.00168271	-0.00179036	0.00925207	-0.00810256	
0.19	2.10829e-11	0.00169273	-0.0017994	0.00924856	-0.00807966	
0.19	2.10825e-11	0.00169345	-0.00179928	0.00910959	-0.00810244	
0.192	2.10776e-11	0.00171166	-0.00181548	0.00909492	-0.00806232	
0.193	2.10751e-11	0.00172074	-0.0018235	0.00908158	-0.00804331	
0.198	2.10629e-11	0.00176587	-0.00186349	0.00907864	-0.00793673	
0.198889	2.10609e-11	0.00177346	-0.00187063	0.0091658	-0.0079024	
0.2	2.10581e-11	0.00178339	-0.00187944	0.00916203	-0.00787974	
0.2	2.10578e-11	0.0017841	-0.00187931	0.00902352	-0.00790383	
0.202	2.10528e-11	0.00180215	-0.00189512	0.00900842	-0.00786421	
0.203	2.10503e-11	0.00181114	-0.00190294	0.00899489	-0.00784551	
0.208	2.10378e-11	0.00185584	-0.00194195	0.00899078	-0.00773983	
0.208889	2.10357e-11	0.00186334	-0.00194891	0.00907744	-0.00770483	
0.21	2.10329e-11	0.00187317	-0.00195751	0.00907341	-0.00768241	
0.21	2.10327e-11	0.00187389	-0.00195737	0.00893537	-0.0077078	
0.212	2.10278e-11	0.00189176	-0.00197279	0.00891984	-0.00766869	
0.213	2.10253e-11	0.00190066	-0.00198041	0.00890612	-0.00765029	
0.218	2.10127e-11	0.00194491	-0.00201845	0.00890084	-0.00754555	
0.218889	2.10106e-11	0.00195234	-0.00202525	0.00898701	-0.0075099	
0.22	2.10078e-11	0.00196207	-0.00203363	0.00898271	-0.00748772	
0.22	2.10076e-11	0.00196278	-0.00203349	0.00884513	-0.00751442	
0.222	2.10027e-11	0.00198047	-0.00204852	0.00882919	-0.00747582	
0.223	2.10001e-11	0.00198928	-0.00205595	0.00881527	-0.00745774	
0.228	2.09875e-11	0.00203307	-0.00209303	0.00880882	-0.00735396	
0.228889	2.09854e-11	0.00204042	-0.00209966	0.00889449	-0.00731767	
0.23	2.09826e-11	0.00205005	-0.00210783	0.00888994	-0.00729575	
0.23	2.09825e-11	0.00205076	-0.00210768	0.00875283	-0.00732372	
0.232	2.09772e-11	0.00206827	-0.00212233	0.00873646	-0.00728565	
0.233	2.09747e-11	0.00207698	-0.00212957	0.00872235	-0.00726789	
0.238	2.09621e-11	0.00212031	-0.00216571	0.00871474	-0.00716512	
0.238889	2.09599e-11	0.00212758	-0.00217218	0.00879991	-0.00712819	
0.24	2.09571e-11	0.0021371	-0.00218014	0.00879509	-0.00710653	
0.24	2.0957e-11	0.00213781	-0.00217999	0.00865845	-0.00713578	
0.242	2.09521e-11	0.00215512	-0.00219426	0.00864167	-0.00709825	
0.243	2.09496e-11	0.00216374	-0.00220131	0.00862737	-0.00708081	
0.248	2.0937e-11	0.0022066	-0.00223652	0.00861859	-0.00697908	
0.248889	2.09349e-11	0.00221378	-0.00224283	0.00870326	-0.00694153	
0.25	2.09321e-11	0.00222319	-0.00225058	0.00869818	-0.00692014	
0.25	2.0932e-11	0.0022239	-0.00225042	0.00856202	-0.00695065	
0.252	2.09269e-11	0.00224102	-0.00226433	0.00854481	-0.00691368	
0.253	2.09244e-11	0.00224955	-0.00227119	0.00853032	-0.00689657	
0.258	2.09118e-11	0.00229191	-0.00230549	0.00852038	-0.0067959	
0.258889	2.09097e-11	0.00229901	-0.00231163	0.00860454	-0.00675774	
0.26	2.09069e-11	0.00230832	-0.00231919	0.0085992	-0.00673663	
0.26	2.09068e-11	0.00230902	-0.00231902	0.00846353	-0.00676839	
0.262	2.09019e-11	0.00232594	-0.00233256	0.00844591	-0.00673198	
0.263	2.08994e-11	0.00233437	-0.00233925	0.00843122	-0.00671521	
0.268	2.0887e-11	0.00237624	-0.00237264	0.00842013	-0.00661563	
0.268889	2.08848e-11	0.00238325	-0.00237863	0.00850378	-0.00657688	
0.27	2.08821e-11	0.00239244	-0.00238599	0.00849818	-0.00655605	
0.27	2.0882e-11	0.00239314	-0.00238581	0.00836299	-0.00658906	
0.272	2.08769e-11	0.00240987	-0.002399	0.00834495	-0.00655322	
0.273	2.08745e-11	0.00241819	-0.0024055	0.00833008	-0.00653679	
0.278	2.0862e-11	0.00245955	-0.00243801	0.00831782	-0.00643834	
0.278889	2.08599e-11	0.00246647	-0.00244385	0.00840096	-0.00639901	
0.28	2.08572e-11	0.00247555	-0.00245101	0.0083951	-0.00637847	
0.28	2.0857e-11	0.00247625	-0.00245083	0.00826041	-0.00641271	
0.282	2.08517e-11	0.00249277	-0.00246366	0.00824195	-0.00637746	
0.283	2.08492e-11	0.00250099	-0.00246999	0.00822689	-0.00636137	
0.288	2.08369e-11	0.00254183	-0.00250162	0.00821348	-0.00626408	
0.288889	2.08347e-11	0.00254866	-0.00250731	0.0082961	-0.00622419	
0.29	2.0832e-11	0.00255762	-0.00251428	0.00828998	-0.00620394	
0.29	2.08319e-11	0.00255832	-0.00251409	0.00815578	-0.0062394	
0.292	2.08273e-11	0.00257463	-0.00252658	0.00813692	-0.00620475	
0.293	2.08248e-11	0.00258275	-0.00253274	0.00812167	-0.00618901	
0.298	2.08125e-11	0.00262306	-0.00256351	0.0081071	-0.00609292	
0.298889	2.08104e-11	0.00262979	-0.00256905	0.00818921	-0.00605246	
0.3	2.08077e-11	0.00263864	-0.00257583	0.00818283	-0.00603252	
0.3	2.08075e-11	0.00263934	-0.00257564	0.00804913	-0.00606919	
0.302	2.08024e-11	0.00265543	-0.00258778	0.00802985	-0.00603514	
0.303	2.07999e-11	0.00266344	-0.00259378	0.00801442	-0.00601977	
0.308	2.07877e-11	0.00270321	-0.00262371	0.0079987	-0.0059249	
0.308889	2.07856e-11	0.00270986	-0.00262911	0.00808028	-0.0058839	
0.31	2.07829e-11	0.00271858	-0.0026357	0.00807365	-0.00586427	
0.31	2.07828e-11	0.00271927	-0.0026355	0.00794046	-0.00590213	
0.312	2.07782e-11	0.00273516	-0.00264731	0.00792077	-0.00586871	
0.313	2.07757e-11	0.00274305	-0.00265314	0.00790515	-0.0058537	
0.318	2.07635e-11	0.00278228	-0.00268225	0.00788827	-0.00576008	
0.318889	2.07614e-11	0.00278882	-0.0026875	0.00796934	-0.00571856	
0.32	2.07587e-11	0.00279743	-0.00269392	0.00796244	-0.00569924	
0.32	2.07586e-11	0.00279812	-0.00269371	0.00782977	-0.00573829	
0.322	2.07538e-11	0.00281378	-0.00270519	0.00780967	-0.0057055	
0.323	2.07513e-11	0.00282156	-0.00271086	0.00779386	-0.00569085	
0.328	2.07392e-11	0.00286023	-0.00273916	0.00777584	-0.00559853	
0.328889	2.07371e-11	0.00286667	-0.00274427	0.00785638	-0.00555649	
0.33	2.07345e-11	0.00287516	-0.00275051	0.00784923	-0.0055375	
0.33	2.07343e-11	0.00287584	-0.0027503	0.00771708	-0.00557771	
0.332	2.07291e-11	0.00289128	-0.00276146	0.00769657	-0.00554557	
0.333	2.07267e-11	0.00289895	-0.00276696	0.00768058	-0.0055313	
0.338	2.07146e-11	0.00293705	-0.00279447	0.00766141	-0.0054403	
0.338889	2.07126e-11	0.00294339	-0.00279945	0.00774141	-0.00539775	
0.34	2.07099e-11	0.00295175	-0.00280551	0.00773401	-0.00537909	
0.34	2.07098e-11	0.00295243	-0.00280529	0.00760238	-0.00542047	
0.342	2.0705e-11	0.00296763	-0.00281614	0.00758147	-0.00538898	
0.343	2.07026e-11	0.00297519	-0.00282149	0.00756529	-0.00537509	
0.348	2.06906e-11	0.00301271	-0.00284822	0.00754498	-0.00528544	
0.348889	2.06886e-11	0.00301895	-0.00285306	0.00762445	-0.0052424	
0.35	2.06859e-11	0.00302718	-0.00285896	0.00761679	-0.00522408	
0.35	2.06858e-11	0.00302786	-0.00285874	0.0074857	-0.0052666	
0.352	2.06812e-11	0.00304283	-0.00286927	0.00746438	-0.00523578	
0.353	2.06788e-11	0.00305027	-0.00287447	0.00744802	-0.00522227	
0.358	2.06668e-11	0.0030872	-0.00290045	0.00742656	-0.00513401	
0.358889	2.06648e-11	0.00309334	-0.00290516	0.0075055	-0.00509049	
0.36	2.06621e-11	0.00310144	-0.00291088	0.00749758	-0.00507252	
0.36	2.0662e-11	0.00310212	-0.00291066	0.00736703	-0.00511617	
0.362	2.06574e-11	0.00311685	-0.00292089	0.00734531	-0.00508604	
0.363	2.0655e-11	0.00312417	-0.00292594	0.00732877	-0.00507291	
0.368	2.06431e-11	0.0031605	-0.00295117	0.00730617	-0.00498606	
0.368889	2.06411e-11	0.00316654	-0.00295576	0.00738456	-0.00494209	
0.37	2.06385e-11	0.0031745	-0.00296132	0.00737639	-0.00492447	
0.37	2.06383e-11	0.00317517	-0.00296109	0.00724639	-0.00496924	
0.372	2.06336e-11	0.00318967	-0.00297103	0.00722427	-0.00493979	
0.373	2.06312e-11	0.00319686	-0.00297593	0.00720755	-0.00492706	
0.378	2.06194e-11	0.00323259	-0.00300044	0.00718382	-0.00484166	
0.378889	2.06174e-11	0.00323852	-0.0030049	0.00726166	-0.00479724	
0.38	2.06148e-11	0.00324634	-0.00301031	0.00725323	-0.00477998	
0.38	2.06146e-11	0.00324701	-0.00301007	0.00712379	-0.00482585	
0.382	2.06098e-11	0.00326126	-0.00301972	0.00710126	-0.00479711	
0.383	2.06075e-11	0.00326834	-0.00302449	0.00708437	-0.00478478	
0.388	2.05957e-11	0.00330344	-0.00304829	0.0070595	-0.00470085	
0.388889	2.05937e-11	0.00330926	-0.00305263	0.00713679	-0.004656	
0.39	2.05911e-11	0.00331695	-0.00305788	0.00712811	-0.0046391	
0.39	2.0591e-11	0.00331762	-0.00305764	0.00699923	-0.00468607	
0.392	2.05863e-11	0.00333162	-0.00306701	0.00697631	-0.00465804	
0.393	2.0584e-11	0.00333857	-0.00307163	0.00695924	-0.00464611	
0.398	2.05723e-11	0.00337305	-0.00309475	0.00693324	-0.0045637	
0.398889	2.05703e-11	0.00337876	-0.00309897	0.00700997	-0.00451843	
0.4	2.05677e-11	0.0033863	-0.00310407	0.00700104	-0.0045019	
0.4	2.05676e-11	0.00338697	-0.00310382	0.00687273	-0.00454995	
0.402	2.05627e-11	0.00340072	-0.00311293	0.00684942	-0.00452264	
0.403	2.05604e-11	0.00340754	-0.00311741	0.00683217	-0.00451112	
0.408	2.05487e-11	0.00344138	-0.00313986	0.00680505	-0.00443025	
0.408889	2.05468e-11	0.00344698	-0.00314397	0.00688121	-0.00438458	
0.41	2.05442e-11	0.00345438	-0.00314892	0.00687203	-0.00436843	
0.41	2.05441e-11	0.00345505	-0.00314867	0.0067443	-0.00441753	
0.412	2.05395e-11	0.00346854	-0.00315751	0.0067206	-0.00439096	
0.413	2.05372e-11	0.00347523	-0.00316186	0.00670317	-0.00437985	
0.418	2.05256e-11	0.00350842	-0.00318366	0.00667492	-0.00430055	
0.418889	2.05237e-11	0.00351391	-0.00318766	0.00675052	-0.0042545	
0.42	2.05211e-11	0.00352117	-0.00319247	0.00674109	-0.00423874	
0.42	2.0521e-11	0.00352183	-0.00319221	0.00661395	-0.00428889	
0.422	2.05162e-11	0.00353506	-0.00320079	0.00658985	-0.00426306	
0.423	2.05139e-11	0.00354162	-0.00320502	0.00657226	-0.00425237	
0.428	2.05024e-11	0.00357416	-0.00322619	0.00654289	-0.00417467	
0.428889	2.05004e-11	0.00357953	-0.00323007	0.00661791	-0.00412825	
