t	dx	dy	dz	da	db	dc	
0.000210637	0.000347312	-3.61499e-09	-3.78268e-15	1.87338e-10	-0.00108444	-1.31596e-10	
0.000211292	0.000333073	-3.46705e-09	-3.62787e-15	1.79671e-10	-0.000970179	-1.1773e-10	
0.000211292	0.000144523	-1.50779e-09	-1.57774e-15	7.81376e-11	0.000477584	5.79544e-11	
0.000212472	0.00013199	-1.3776e-09	-1.4415e-15	7.13903e-11	0.000582679	7.07077e-11	
0.000213062	0.000144911	-1.41209e-09	-1.47759e-15	7.31777e-11	0.000487899	1.72437e-10	
0.000216011	7.92306e-05	-9.08307e-10	-9.5044e-16	4.70707e-11	0.00101437	3.36271e-11	
0.000216535	-8.71662e-05	-1.56858e-11	-1.64132e-17	8.12874e-13	0.00229597	-7.59945e-10	
0.00021719	-7.55869e-05	-3.95938e-11	-4.14302e-17	2.05185e-12	0.00221199	-6.60713e-10	
0.00021719	0.000159362	-1.25907e-09	-1.31748e-15	6.52483e-11	0.000407953	5.06885e-10	
0.000218175	0.000163138	-1.22427e-09	-1.28106e-15	6.34449e-11	0.000386357	5.8831e-10	
0.000218668	0.000163443	-1.2129e-09	-1.26916e-15	6.28555e-11	0.000387716	5.98805e-10	
0.000221131	0.000175718	-1.11511e-09	-1.16684e-15	5.77877e-11	0.000311964	8.56461e-10	
0.000221568	0.000190667	-1.04912e-09	-1.09778e-15	5.43678e-11	0.00020047	1.14593e-09	
0.000222116	0.000191235	-1.03561e-09	-1.08365e-15	5.36677e-11	0.00020022	1.16197e-09	
0.000222116	0.000171848	-1.10942e-09	-1.16088e-15	5.7493e-11	0.000349078	7.9195e-10	
0.00022347	0.000175106	-1.06893e-09	-1.11851e-15	5.53946e-11	0.000334239	8.66993e-10	
0.000224148	0.000174701	-1.05333e-09	-1.10219e-15	5.45863e-11	0.000342436	8.97323e-10	
0.000227534	0.000186488	-9.43784e-10	-9.87562e-16	4.89092e-11	0.000277381	1.0978e-09	
0.000228137	0.000204984	-8.86822e-10	-9.27958e-16	4.59573e-11	0.000139882	1.19143e-09	
0.000228889	0.000204828	-8.68819e-10	-9.0912e-16	4.50243e-11	0.00014673	1.22617e-09	
0.000228889	0.000179923	-9.25743e-10	-9.68684e-16	4.79743e-11	0.000337965	1.13812e-09	
0.000230661	0.00018182	-8.78182e-10	-9.18917e-16	4.55095e-11	0.000336712	1.22792e-09	
0.000231547	0.000181863	-8.67105e-10	-9.07326e-16	4.49355e-11	0.000343035	1.26989e-09	
0.000235977	0.000188225	-7.25461e-10	-7.59111e-16	3.75951e-11	0.000327465	1.49964e-09	
0.000236765	0.000196654	-5.97842e-10	-6.25573e-16	3.09816e-11	0.000268662	1.56414e-09	
0.00023775	0.000196833	-5.83695e-10	-6.1077e-16	3.02485e-11	0.000274681	1.6112e-09	
0.00023775	0.000185751	-7.39251e-10	-7.73541e-16	3.83098e-11	0.000359772	1.57527e-09	
0.000240475	0.000187432	-6.83466e-10	-7.15169e-16	3.54189e-11	0.000367347	1.70938e-09	
0.000241838	0.000188817	-6.78021e-10	-7.09471e-16	3.51367e-11	0.00036695	1.77875e-09	
0.000248652	0.000192042	-4.98378e-10	-5.21495e-16	2.58271e-11	0.000393375	2.10988e-09	
0.000249863	0.000188221	-2.85439e-10	-2.9868e-16	1.47922e-11	0.00043181	2.1501e-09	
0.000251377	0.000189681	-2.7614e-10	-2.88949e-16	1.43102e-11	0.000431975	2.22684e-09	
0.000251377	0.000196353	-5.50999e-10	-5.76557e-16	2.85541e-11	0.000380743	2.25517e-09	
0.000256017	0.000200038	-4.90001e-10	-5.1273e-16	2.5393e-11	0.000387306	2.48697e-09	
0.000258337	0.000201915	-4.95671e-10	-5.18663e-16	2.56869e-11	0.000390321	2.60386e-09	
0.000269937	0.000211065	-2.7843e-10	-2.91345e-16	1.44289e-11	0.000407206	3.18158e-09	
0.000271999	0.000212411	5.1846e-11	5.4251e-17	-2.68679e-12	0.000412359	3.27625e-09	
0.000274577	0.000214492	5.07807e-11	5.31362e-17	-2.63158e-12	0.000415747	3.40599e-09	
0.000274577	0.000214917	-3.9211e-10	-4.10298e-16	2.03201e-11	0.00041248	3.41819e-09	
0.000288274	0.000225886	-3.06952e-10	-3.2119e-16	1.5907e-11	0.000431154	4.10508e-09	
0.000295122	0.000230452	-3.52905e-10	-3.69275e-16	1.82884e-11	0.000447542	4.45009e-09	
0.000329364	0.000259518	1.84751e-11	1.93322e-17	-9.57424e-13	0.000481604	6.16453e-09	
0.000335452	0.00027209	7.98397e-10	8.35432e-16	-4.13749e-11	0.000430802	6.45672e-09	
0.000343061	0.000277296	7.60152e-10	7.95412e-16	-3.93929e-11	0.00044799	6.83984e-09	
0.000343061	0.000266051	-3.23933e-10	-3.38959e-16	1.6787e-11	0.000534331	6.85896e-09	
0.000364067	0.000281621	-3.14022e-10	-3.28588e-16	1.62734e-11	0.00057258	7.9145e-09	
0.00037457	0.000295628	-3.99138e-10	-4.17652e-16	2.06843e-11	0.000543929	8.448e-09	
0.000427083	0.000323413	-2.13121e-10	-2.23006e-16	1.10444e-11	0.000725079	1.10766e-08	
0.000436419	0.00027818	5.46259e-10	5.71598e-16	-2.83085e-11	0.00114253	1.14977e-08	
0.000448089	0.000292843	4.64722e-10	4.86279e-16	-2.4083e-11	0.00111761	1.20896e-08	
0.000448089	0.000369033	-6.3821e-10	-6.67813e-16	3.30736e-11	0.000532596	1.21598e-08	
0.00047006	0.000391103	-7.11587e-10	-7.44593e-16	3.68762e-11	0.000528184	1.32692e-08	
0.000481045	0.000355162	-6.3705e-10	-6.66599e-16	3.30135e-11	0.000886676	1.38007e-08	
0.000535973	0.00049443	-1.0196e-09	-1.06689e-15	5.28382e-11	0.000229954	1.66157e-08	
0.000545737	0.000897985	-1.9845e-09	-2.07655e-15	1.02841e-10	-0.00279535	1.73033e-08	
0.000557944	0.00086485	-1.91778e-09	-2.00673e-15	9.93838e-11	-0.00244923	1.78972e-08	
0.000557944	0.000289633	-5.55817e-10	-5.81598e-16	2.88038e-11	0.00196752	1.7613e-08	
0.00046565	0.000386673	-6.96861e-10	-7.29184e-16	3.6113e-11	0.00052907	1.30465e-08	
0.000474431	0.000357946	-6.37283e-10	-6.66843e-16	3.30255e-11	0.000815615	1.34714e-08	
0.000518335	0.000469264	-9.43059e-10	-9.86802e-16	4.88716e-11	0.000290691	1.57214e-08	
0.00052614	0.000791829	-1.71431e-09	-1.79383e-15	8.88397e-11	-0.00212746	1.6271e-08	
0.000535897	0.000765344	-1.66098e-09	-1.73802e-15	8.60759e-11	-0.0018508	1.67457e-08	
0.000535897	0.000305568	-5.72353e-10	-5.989e-16	2.96607e-11	0.00167955	1.65186e-08	
0.000553458	0.000289832	-5.51978e-10	-5.77581e-16	2.86049e-11	0.00193229	1.73888e-08	
0.000562239	0.000425945	-6.55671e-10	-6.86082e-16	3.39784e-11	0.000953129	1.76556e-08	
0.000606143	0.000128865	-4.00877e-10	-4.19469e-16	2.07744e-11	0.00356405	2.01327e-08	
0.000613948	-0.00108496	5.62706e-10	5.88809e-16	-2.91608e-11	0.0129429	2.19309e-08	
0.000623705	-0.000954562	4.63975e-10	4.85498e-16	-2.40443e-11	0.012015	2.22516e-08	
0.000623705	0.000808479	-9.3048e-10	-9.73638e-16	4.82197e-11	-0.00152237	2.01897e-08	
0.000546767	0.000295828	-5.59741e-10	-5.85704e-16	2.90072e-11	0.00183599	1.70573e-08	
0.000552202	0.00038008	-6.23926e-10	-6.52865e-16	3.23333e-11	0.0012299	1.72224e-08	
0.000579378	0.000196191	-4.66211e-10	-4.87835e-16	2.41602e-11	0.00284603	1.87557e-08	
0.00058421	-0.000555153	1.30236e-10	1.36278e-16	-6.74914e-12	0.00865145	1.98687e-08	
0.000590249	-0.000474439	6.91225e-11	7.23303e-17	-3.58209e-12	0.00807706	2.00673e-08	
0.000590249	0.000616864	-7.94029e-10	-8.30859e-16	4.11485e-11	-0.000302407	1.87909e-08	
0.000541332	0.000300698	-5.66047e-10	-5.92302e-16	2.93339e-11	0.00175777	1.67879e-08	
0.000544049	0.000342824	-5.98139e-10	-6.25883e-16	3.0997e-11	0.00145472	1.68705e-08	
0.000557637	0.000250879	-5.19282e-10	-5.43367e-16	2.69104e-11	0.00226279	1.76371e-08	
0.000560053	-0.000124793	-2.21058e-10	-2.31311e-16	1.14558e-11	0.0051655	1.81937e-08	
0.000563073	-8.44356e-05	-2.51615e-10	-2.63285e-16	1.30393e-11	0.0048783	1.82929e-08	
0.000563073	0.000461216	-6.83191e-10	-7.14879e-16	3.54046e-11	0.000688569	1.76548e-08	
0.000538614	0.000303133	-5.692e-10	-5.95601e-16	2.94973e-11	0.00171866	1.66533e-08	
0.000539973	0.000324196	-5.85246e-10	-6.12391e-16	3.03289e-11	0.00156713	1.66945e-08	
0.000546767	0.000278223	-5.45817e-10	-5.71134e-16	2.82856e-11	0.00197117	1.70779e-08	
0.000547975	9.03874e-05	-3.96706e-10	-4.15106e-16	2.05582e-11	0.00342252	1.73561e-08	
0.000549485	0.000110566	-4.11984e-10	-4.31093e-16	2.135e-11	0.00327892	1.74058e-08	
0.000549485	0.000383392	-6.27772e-10	-6.5689e-16	3.25327e-11	0.00118406	1.70867e-08	
0.000552202	0.000400762	-6.40283e-10	-6.69982e-16	3.3181e-11	0.0010711	1.71982e-08	
0.000553561	0.00040049	-6.41598e-10	-6.71357e-16	3.32492e-11	0.00108339	1.72731e-08	
0.000560355	0.000459949	-6.81722e-10	-7.13343e-16	3.53285e-11	0.000677884	1.75176e-08	
0.000561563	0.000542744	-7.287e-10	-7.625e-16	3.7763e-11	5.12186e-05	1.74068e-08	
0.000563073	0.000543739	-7.30876e-10	-7.64776e-16	3.78758e-11	5.4926e-05	1.74873e-08	
0.000563073	0.000434062	-6.7037e-10	-7.01464e-16	3.47402e-11	0.000897071	1.77215e-08	
0.000566004	0.000444211	-6.79129e-10	-7.10629e-16	3.51941e-11	0.000841165	1.78601e-08	
0.00056747	0.000441728	-6.79214e-10	-7.10718e-16	3.51985e-11	0.000871239	1.79398e-08	
0.000574799	0.000480629	-7.08798e-10	-7.41674e-16	3.67316e-11	0.0006276	1.82678e-08	
0.000576102	0.000548483	-7.48683e-10	-7.83409e-16	3.87986e-11	0.000116377	1.82425e-08	
0.00057773	0.000546818	-7.49399e-10	-7.84159e-16	3.88357e-11	0.000141394	1.83295e-08	
0.00057773	0.000454281	-6.96818e-10	-7.29138e-16	3.61108e-11	0.000851934	1.84565e-08	
0.000581002	0.00045811	-7.02333e-10	-7.34909e-16	3.63966e-11	0.000847107	1.86215e-08	
0.000582638	0.000457951	-7.03774e-10	-7.36417e-16	3.64713e-11	0.000860618	1.8704e-08	
0.000590817	0.000471238	-7.19918e-10	-7.53309e-16	3.73079e-11	0.00082004	1.91165e-08	
0.000592271	0.000490324	-7.33402e-10	-7.67419e-16	3.80067e-11	0.000684412	1.91896e-08	
0.000594089	0.000490448	-7.35194e-10	-7.69294e-16	3.80995e-11	0.00069712	1.92813e-08	
0.000594089	0.000465051	-7.19075e-10	-7.52428e-16	3.72642e-11	0.000892122	1.92816e-08	
0.000598818	0.000467922	-7.25355e-10	-7.58999e-16	3.75897e-11	0.000905604	1.95201e-08	
0.000601182	0.000470056	-7.28657e-10	-7.62453e-16	3.77608e-11	0.000906978	1.96395e-08	
0.000613004	0.000475982	-7.44068e-10	-7.78579e-16	3.85594e-11	0.00095029	2.02356e-08	
0.000615106	0.0004714	-7.45507e-10	-7.80086e-16	3.8634e-11	0.00100126	2.03409e-08	
0.000617733	0.00047367	-7.49152e-10	-7.83899e-16	3.88229e-11	0.00100357	2.04735e-08	
0.000617733	0.000482228	-7.51127e-10	-7.85965e-16	3.89252e-11	0.000937856	2.04745e-08	
0.000626229	0.000488502	-7.62667e-10	-7.98041e-16	3.95233e-11	0.000953508	2.09032e-08	
0.000630477	0.000492399	-7.68435e-10	-8.04076e-16	3.98222e-11	0.000955492	2.11177e-08	
0.000651717	0.000506722	-7.9729e-10	-8.3427e-16	4.13175e-11	0.00100508	2.21891e-08	
0.000655493	0.000503133	-8.02439e-10	-8.39658e-16	4.15844e-11	0.001061	2.23786e-08	
0.000660213	0.000507354	-8.08848e-10	-8.46364e-16	4.19165e-11	0.00106405	2.26169e-08	
0.000660213	0.00051667	-8.08819e-10	-8.46333e-16	4.1915e-11	0.000992521	2.26184e-08	
0.000675221	0.000528946	-8.292e-10	-8.67659e-16	4.29712e-11	0.001011	2.33758e-08	
0.000682724	0.000533877	-8.37871e-10	-8.76732e-16	4.34205e-11	0.00102951	2.37543e-08	
0.000720243	0.00056673	-8.91545e-10	-9.32895e-16	4.6202e-11	0.0010591	2.56482e-08	
0.000726913	0.000582311	-9.13341e-10	-9.55702e-16	4.73315e-11	0.000989571	2.59864e-08	
0.00073525	0.000587964	-9.23195e-10	-9.66013e-16	4.78422e-11	0.0010088	2.6407e-08	
0.00073525	0.000573173	-9.04586e-10	-9.46541e-16	4.68779e-11	0.00112236	2.64046e-08	
0.000759418	0.000591215	-9.35233e-10	-9.78609e-16	4.84661e-11	0.00116539	2.76241e-08	
0.000771502	0.000603257	-9.51258e-10	-9.95376e-16	4.92965e-11	0.00116371	2.82342e-08	
0.000831923	0.000642951	-1.02662e-09	-1.07423e-15	5.32019e-11	0.00131282	3.12822e-08	
0.000842664	0.000625643	-1.03437e-09	-1.08234e-15	5.36033e-11	0.00152641	3.1821e-08	
0.000856091	0.000638586	-1.05207e-09	-1.10086e-15	5.45207e-11	0.00152789	3.24988e-08	
0.000856091	0.000675585	-1.06065e-09	-1.10984e-15	5.49655e-11	0.0012438	3.25035e-08	
0.000888491	0.000703372	-1.10257e-09	-1.1537e-15	5.71379e-11	0.00127384	3.41388e-08	
0.000904691	0.000704237	-1.11604e-09	-1.1678e-15	5.78359e-11	0.0013889	3.49533e-08	
0.000985691	0.000797026	-1.23425e-09	-1.29149e-15	6.39618e-11	0.00128492	3.9047e-08	
0.00100009	0.000918576	-1.31567e-09	-1.37668e-15	6.81811e-11	0.000459785	3.97997e-08	
0.00101809	0.000921423	-1.33172e-09	-1.39347e-15	6.90128e-11	0.000573145	4.07052e-08	
0.00101809	0.000761893	-1.23999e-09	-1.29749e-15	6.42594e-11	0.00179808	4.06673e-08	
0.00105096	0.000778336	-1.27577e-09	-1.33493e-15	6.61134e-11	0.00191877	4.23236e-08	
0.0010674	0.000839742	-1.32363e-09	-1.38501e-15	6.85939e-11	0.00157075	4.31437e-08	
0.00114958	0.000785642	-1.35941e-09	-1.42244e-15	7.04478e-11	0.00260352	4.7299e-08	
0.00116419	0.000347161	-1.12404e-09	-1.17616e-15	5.82507e-11	0.00608011	4.81029e-08	
0.00118245	0.000407692	-1.17289e-09	-1.22726e-15	6.07819e-11	0.00575252	4.90152e-08	
0.00118245	0.00105894	-1.53996e-09	-1.61136e-15	7.98043e-11	0.000751995	4.89163e-08	
0.00104326	0.000774485	-1.26739e-09	-1.32616e-15	6.56792e-11	0.0018905	4.19357e-08	
0.00105585	0.000821509	-1.30404e-09	-1.36451e-15	6.75787e-11	0.00162399	4.25637e-08	
0.00111878	0.000780079	-1.33144e-09	-1.39318e-15	6.89985e-11	0.00241488	4.57458e-08	
0.00112997	0.000444296	-1.1512e-09	-1.20458e-15	5.9658e-11	0.00507721	4.63614e-08	
0.00114396	0.00049065	-1.1886e-09	-1.24371e-15	6.15964e-11	0.00482635	4.70601e-08	
0.00114396	0.000989367	-1.4697e-09	-1.53785e-15	7.61635e-11	0.000996998	4.69843e-08	
0.00116913	0.00103816	-1.5175e-09	-1.58787e-15	7.86407e-11	0.000811445	4.82472e-08	
0.00118172	0.000927012	-1.46542e-09	-1.53337e-15	7.59418e-11	0.00175945	4.87376e-08	
0.00124465	0.00129164	-1.72094e-09	-1.80073e-15	8.91834e-11	-0.000567556	5.21473e-08	
0.00125584	0.00244947	-2.37905e-09	-2.48937e-15	1.23288e-10	-0.00937376	5.38903e-08	
0.00126983	0.00234559	-2.33218e-09	-2.44032e-15	1.20859e-10	-0.00847106	5.44557e-08	
0.00126983	0.000685819	-1.4018e-09	-1.46678e-15	7.26445e-11	0.00427331	5.27292e-08	
0.00116297	0.00102621	-1.5058e-09	-1.57562e-15	7.80342e-11	0.000856876	4.7938e-08	
0.00117247	0.000942279	-1.46647e-09	-1.53447e-15	7.59961e-11	0.00157277	4.83083e-08	
0.00122	0.00121763	-1.65943e-09	-1.73637e-15	8.59956e-11	-0.000184495	5.08832e-08	
0.00122845	0.00209198	-2.15641e-09	-2.2564e-15	1.1175e-10	-0.00683461	5.21995e-08	
0.00123901	0.00201353	-2.12101e-09	-2.21936e-15	1.09916e-10	-0.00615292	5.26264e-08	
0.00123901	0.000760139	-1.41842e-09	-1.48418e-15	7.35061e-11	0.00347115	5.13227e-08	
0.00115346	0.00100779	-1.48775e-09	-1.55673e-15	7.70989e-11	0.000926937	4.74611e-08	
0.00115822	0.000965823	-1.46809e-09	-1.53616e-15	7.60798e-11	0.00128489	4.76463e-08	
0.00118198	0.0011035	-1.56457e-09	-1.63711e-15	8.10796e-11	0.000406251	4.89337e-08	
0.0011862	0.00154067	-1.81306e-09	-1.89712e-15	9.39569e-11	-0.00291881	4.95919e-08	
0.00119148	0.00150145	-1.79536e-09	-1.87861e-15	9.30398e-11	-0.00257796	4.98053e-08	
0.00119148	0.000874753	-1.44406e-09	-1.51102e-15	7.48348e-11	0.00223407	4.91535e-08	
0.00120099	0.000847684	-1.43661e-09	-1.50322e-15	7.44486e-11	0.00251333	4.9583e-08	
0.00120574	0.000890176	-1.46426e-09	-1.53215e-15	7.58817e-11	0.00222275	4.985e-08	
0.0012295	0.000722207	-1.38946e-09	-1.45388e-15	7.20051e-11	0.003691	5.08303e-08	
0.00123373	0.000240562	-1.12312e-09	-1.17519e-15	5.82029e-11	0.007421	5.05834e-08	
0.00123901	0.000279667	-1.14931e-09	-1.20259e-15	5.95598e-11	0.00716041	5.08725e-08	
0.00123901	0.00096572	-1.53355e-09	-1.60466e-15	7.94725e-11	0.00189262	5.15121e-08	
0.00119901	0.000853328	-1.43816e-09	-1.50484e-15	7.45291e-11	0.0024551	4.94934e-08	
0.00120277	0.00088696	-1.46005e-09	-1.52775e-15	7.56634e-11	0.00222511	4.97048e-08	
0.00122158	0.000754015	-1.40084e-09	-1.46579e-15	7.25951e-11	0.00338721	5.04807e-08	
