t	theta1	theta2	psi	y	z	dtheta1	dtheta2	dpsi	ddtheta1	ddtheta2	ddpsi	Fsb12	Fsb13	Fb1b22	Fb1b23	Fb2d2	Fb2d3	Fsd3	
0.01	1.05007	0.116283	-0.000672876	2.16372	-0.137408	0.0134657	0.0247723	-0.134573	1.34645	2.47486	-13.4564	0	0	0	0	0	0	0	
0.012	1.05009	0.116332	-0.000942022	2.16364	-0.137454	0.0161586	0.0297221	-0.161486	1.34661	2.47344	-13.4559	0	0	0	0	0	0	0	
0.013	1.05011	0.116368	-0.00113715	2.16357	-0.137488	0.0175054	0.0321937	-0.174941	1.34685	2.47256	-13.4553	0	0	0	0	0	0	0	
0.018	1.05022	0.11656	-0.00218002	2.16324	-0.137669	0.0242454	0.0445425	-0.242203	1.34821	2.46749	-13.4527	0	0	0	0	0	0	0	
0.0188889	1.05024	0.1166	-0.00240064	2.16317	-0.137707	0.0254493	0.0467314	-0.254145	1.34855	2.46642	-13.4521	0	0	0	0	0	0	0	
0.02	1.05027	0.116654	-0.00269138	2.16308	-0.137758	0.0269473	0.0494716	-0.269094	1.349	2.46502	-13.4514	0	0	0	0	0	0	0	
0.02	1.05027	0.116654	-0.00269136	2.16308	-0.137757	0.02694	0.0494769	-0.269115	1.349	2.46502	-13.4514	0	0	0	0	0	0	0	
0.022	1.05032	0.116753	-0.00322959	2.16291	-0.137851	0.029638	0.054407	-0.296018	1.34987	2.46235	-13.4502	0	0	0	0	0	0	0	
0.023	1.05036	0.116814	-0.00355923	2.1628	-0.137908	0.030989	0.056866	-0.309467	1.35046	2.46084	-13.4492	0	0	0	0	0	0	0	
0.028	1.05053	0.117129	-0.00527463	2.16226	-0.138208	0.0377517	0.0691482	-0.376694	1.35367	2.45257	-13.4448	0	0	0	0	0	0	0	
0.0288889	1.05056	0.117191	-0.00561473	2.16215	-0.138268	0.0389607	0.0713235	-0.388628	1.35435	2.45091	-13.4438	0	0	0	0	0	0	0	
0.03	1.05061	0.117272	-0.00605489	2.16201	-0.138345	0.0404654	0.074046	-0.403567	1.35524	2.44878	-13.4427	0	0	0	0	0	0	0	
0.03	1.05061	0.117272	-0.00605495	2.16201	-0.138344	0.0404579	0.0740515	-0.403589	1.35523	2.44879	-13.4428	0	0	0	0	0	0	0	
0.032	1.05069	0.11742	-0.00686213	2.16175	-0.138485	0.0431684	0.0789491	-0.430475	1.35688	2.44479	-13.4409	0	0	0	0	0	0	0	
0.033	1.05073	0.117505	-0.00732621	2.1616	-0.138567	0.0445273	0.0813889	-0.443913	1.35789	2.44261	-13.4395	0	0	0	0	0	0	0	
0.038	1.05097	0.117942	-0.00971368	2.16083	-0.138988	0.0513325	0.0935712	-0.511087	1.36323	2.43087	-13.4332	0	0	0	0	0	0	0	
