t	x	theta	dx	dtheta	ddx	ddtheta	
0	0	1.5708	-1.47073e-269	0	3.20259e-07	-1.96	
0	0	1.5708	-1.47073e-269	0	3.20259e-07	-1.96	
2.05052e-05	-3.01576e-274	1.5708	6.56697e-12	-4.01902e-05	3.21064e-07	-1.96	
3.07578e-05	1.51489e-16	1.5708	9.86903e-12	-6.02853e-05	3.22981e-07	-1.96	
8.20208e-05	1.08403e-15	1.5708	2.6952e-11	-0.000160761	3.39631e-07	-1.96	
9.11342e-05	1.32825e-15	1.5708	3.0393e-11	-0.000178623	3.44176e-07	-1.96	
0.000102526	1.68586e-15	1.5708	3.43146e-11	-0.000200951	3.50531e-07	-1.96	
0.000102526	1.70972e-15	1.5708	3.38692e-11	-0.000200951	3.50531e-07	-1.96	
0.000205052	5.1822e-15	1.5708	6.98078e-11	-0.000401902	4.31279e-07	-1.96	
0.000256315	1.10637e-14	1.5708	9.70907e-11	-0.000502377	5.09507e-07	-1.96	
0.00051263	6.20526e-14	1.5708	3.12849e-10	-0.00100475	1.07728e-06	-1.96	
0.000558197	8.02742e-14	1.5708	4.05783e-10	-0.00109407	1.21783e-06	-1.96	
0.000615156	9.71999e-14	1.5708	4.7621e-10	-0.00120571	1.41036e-06	-1.96	
0.000615156	9.49712e-14	1.5708	4.20538e-10	-0.00120571	1.41038e-06	-1.96	
0.00112779	3.10552e-13	1.5708	1.14354e-09	-0.00221046	3.73202e-06	-1.96	
0.0013841	8.35306e-13	1.57079	2.84395e-09	-0.00271284	5.83874e-06	-1.96	
0.00266568	1.61244e-11	1.57079	2.14541e-08	-0.00522472	2.0785e-05	-1.96	
0.00289351	2.49016e-11	1.57079	3.16843e-08	-0.00567128	2.44301e-05	-1.96	
0.00317831	2.96507e-11	1.57079	3.87997e-08	-0.00622947	2.94095e-05	-1.96	
0.00317831	2.61111e-11	1.57079	3.18421e-08	-0.00622948	2.94123e-05	-1.96	
0.00454265	6.95545e-11	1.57078	7.19704e-08	-0.00890358	5.7959e-05	-1.96	
0.00522481	1.52868e-10	1.57077	1.3585e-07	-0.0102406	7.89187e-05	-1.95999	
0.00863566	1.70062e-09	1.57072	6.6611e-07	-0.0169258	0.000214917	-1.95998	
0.00924203	2.75612e-09	1.57071	9.01417e-07	-0.0181143	0.000246055	-1.95998	
0.01	3.19977e-09	1.5707	1.09351e-06	-0.0195999	0.000288	-1.95998	
0.01	2.41506e-09	1.5707	9.62631e-07	-0.0195999	0.000288053	-1.95998	
0.012	4.34032e-09	1.57066	1.53874e-06	-0.0235199	0.000410751	-1.95997	
0.013	6.59919e-09	1.57063	2.10286e-06	-0.0254798	0.000486395	-1.95997	
0.018	2.91497e-08	1.57048	5.73848e-06	-0.0352796	0.000931506	-1.95994	
0.0188889	4.22827e-08	1.57045	6.90696e-06	-0.0370217	0.00102551	-1.95993	
0.02	4.86569e-08	1.5704	8.08324e-06	-0.0391994	0.00114952	-1.95992	
0.02	3.8418e-08	1.5704	7.67408e-06	-0.0391995	0.00114969	-1.95992	
0.022	5.37661e-08	1.57033	9.97346e-06	-0.0431193	0.00138693	-1.95991	
0.023	6.66138e-08	1.57028	1.16569e-05	-0.0450792	0.00151974	-1.9599	
0.028	1.5558e-07	1.57003	2.1172e-05	-0.0548785	0.00225056	-1.95985	
0.0288889	1.9198e-07	1.56998	2.35318e-05	-0.0566205	0.00239529	-1.95984	
0.03	2.16736e-07	1.56991	2.62657e-05	-0.0587981	0.00258269	-1.95982	
0.03	1.94153e-07	1.56991	2.58616e-05	-0.0587982	0.00258286	-1.95982	
0.032	2.45876e-07	1.5698	3.10273e-05	-0.0627179	0.00293416	-1.9598	
0.033	2.8336e-07	1.56973	3.44006e-05	-0.0646776	0.0031239	-1.95979	
0.038	5.11801e-07	1.56938	5.2646e-05	-0.0744763	0.0041392	-1.95972	
0.0388889	5.85914e-07	1.56931	5.67034e-05	-0.0762183	0.00433444	-1.9597	
0.04	6.47791e-07	1.56923	6.16273e-05	-0.0783957	0.00458496	-1.95968	
0.04	6.12916e-07	1.56923	6.12282e-05	-0.0783958	0.00458512	-1.95968	
0.042	7.35372e-07	1.56907	7.03985e-05	-0.0823151	0.00505	-1.95965	
0.043	8.17234e-07	1.56898	7.60296e-05	-0.0842748	0.00529641	-1.95964	
0.048	1.28666e-06	1.56854	0.000105844	-0.0940727	0.00659497	-1.95955	
0.0488889	1.41798e-06	1.56845	0.000112103	-0.0958144	0.00684049	-1.95953	
0.05	1.54203e-06	1.56835	0.000119847	-0.0979917	0.00715384	-1.95951	
0.05	1.49491e-06	1.56835	0.000119453	-0.0979918	0.00715401	-1.95951	
0.052	1.73382e-06	1.56815	0.000133761	-0.101911	0.00773196	-1.95947	
0.053	1.88546e-06	1.56804	0.000142215	-0.10387	0.00803479	-1.95945	
0.058	2.7257e-06	1.5675	0.000186425	-0.113667	0.00961532	-1.95934	
0.0588889	2.93875e-06	1.5674	0.000195387	-0.115409	0.00991091	-1.95931	
0.06	3.15631e-06	1.56727	0.000206578	-0.117586	0.0102868	-1.95929	
0.06	3.09701e-06	1.56727	0.000206189	-0.117586	0.010287	-1.95929	
0.062	3.50939e-06	1.56703	0.000226763	-0.121504	0.0109775	-1.95924	
0.063	3.76187e-06	1.56691	0.000238603	-0.123464	0.0113365	-1.95922	
0.068	5.13095e-06	1.56626	0.000300022	-0.133259	0.0131977	-1.95908	
0.0688889	5.45526e-06	1.56615	0.000312186	-0.135001	0.0135431	-1.95906	
0.07	5.80392e-06	1.56599	0.000327448	-0.137177	0.0139813	-1.95903	
0.07	5.73249e-06	1.56599	0.000327064	-0.137177	0.0139814	-1.95903	
0.072	6.38662e-06	1.56572	0.000355027	-0.141095	0.014784	-1.95897	
0.073	6.7766e-06	1.56557	0.000370814	-0.143054	0.0151989	-1.95894	
0.078	8.86061e-06	1.56483	0.000452241	-0.152849	0.0173394	-1.95879	
0.0788889	9.3307e-06	1.5647	0.000468106	-0.15459	0.0177344	-1.95876	
0.08	9.85427e-06	1.56452	0.000488059	-0.156766	0.0182345	-1.95873	
0.08	9.77076e-06	1.56452	0.00048768	-0.156766	0.0182347	-1.95873	
0.082	1.07461e-05	1.56421	0.00052415	-0.160684	0.0191487	-1.95866	
0.083	1.13159e-05	1.56405	0.000544441	-0.162642	0.0196193	-1.95863	
0.088	1.43288e-05	1.56321	0.000648663	-0.172435	0.0220378	-1.95846	
0.0888889	1.49842e-05	1.56305	0.000668722	-0.174176	0.0224821	-1.95843	
0.09	1.57327e-05	1.56286	0.000693985	-0.176352	0.0230439	-1.95839	
0.09	1.56371e-05	1.56286	0.000693612	-0.176352	0.0230441	-1.95839	
0.092	1.70244e-05	1.56251	0.0007397	-0.180269	0.024069	-1.95831	
0.093	1.78217e-05	1.56232	0.00076505	-0.182227	0.0245949	-1.95828	
0.098	2.20054e-05	1.56139	0.00089484	-0.192018	0.02729	-1.95808	
0.0988889	2.28904e-05	1.56121	0.000919586	-0.193758	0.0277834	-1.95805	
0.1	2.392e-05	1.561	0.000950774	-0.195934	0.0284065	-1.958	
0.1	2.38125e-05	1.561	0.000950406	-0.195934	0.0284067	-1.958	
0.102	2.57134e-05	1.56061	0.00100722	-0.19985	0.029542	-1.95792	
0.103	2.67916e-05	1.5604	0.00103818	-0.201808	0.030123	-1.95788	
0.108	3.24156e-05	1.55937	0.0011963	-0.211596	0.0330932	-1.95766	
0.108889	3.35796e-05	1.55918	0.00122622	-0.213337	0.0336354	-1.95762	
0.11	3.49526e-05	1.55894	0.00126394	-0.215512	0.0343195	-1.95757	
0.11	3.48332e-05	1.55894	0.00126358	-0.215512	0.0343197	-1.95757	
0.112	3.73604e-05	1.55851	0.00133222	-0.219427	0.0355648	-1.95748	
0.113	3.87784e-05	1.55829	0.00136934	-0.221384	0.0362005	-1.95743	
0.118	4.61397e-05	1.55715	0.00155853	-0.231171	0.0394443	-1.9572	
0.118889	4.76368e-05	1.55695	0.00159411	-0.23291	0.0400351	-1.95715	
0.12	4.94216e-05	1.55669	0.00163898	-0.235085	0.0407799	-1.9571	
0.12	4.92904e-05	1.55669	0.00163862	-0.235085	0.0407801	-1.9571	
0.122	5.25676e-05	1.55622	0.00172018	-0.238999	0.0421343	-1.957	
0.123	5.43898e-05	1.55597	0.00176401	-0.240956	0.0428245	-1.95695	
0.128	6.38127e-05	1.55474	0.001987	-0.25074	0.0463404	-1.95669	
0.128889	6.57019e-05	1.55452	0.00202873	-0.252479	0.0469795	-1.95664	
0.13	6.79731e-05	1.55424	0.00208135	-0.254653	0.0477846	-1.95658	
0.13	6.78301e-05	1.55424	0.002081	-0.254654	0.0477847	-1.95658	
0.132	7.19921e-05	1.55373	0.00217657	-0.258567	0.0492475	-1.95647	
0.133	7.42881e-05	1.55347	0.00222764	-0.260523	0.0499918	-1.95641	
0.138	8.61242e-05	1.55214	0.00248714	-0.270304	0.0537781	-1.95613	
0.138889	8.84696e-05	1.5519	0.0025355	-0.272043	0.0544652	-1.95608	
0.14	9.13075e-05	1.55159	0.00259647	-0.274216	0.0553302	-1.95601	
0.14	9.11528e-05	1.55159	0.00259612	-0.274217	0.0553304	-1.95601	
0.142	9.63451e-05	1.55105	0.00270678	-0.278129	0.056901	-1.95589	
0.143	9.91902e-05	1.55076	0.00276565	-0.280084	0.0576991	-1.95583	
0.148	0.000113818	1.54934	0.00306435	-0.289863	0.0617542	-1.95552	
0.148889	0.000116688	1.54908	0.00311982	-0.291601	0.062489	-1.95547	
0.15	0.000120179	1.54875	0.00318974	-0.293773	0.0634136	-1.95539	
0.15	0.000120013	1.54875	0.0031894	-0.293774	0.0634138	-1.95539	
0.152	0.000126392	1.54817	0.00331622	-0.297684	0.0650916	-1.95527	
0.153	0.000129867	1.54786	0.00338341	-0.299639	0.0659431	-1.9552	
0.158	0.000147692	1.54634	0.003724	-0.309415	0.0702652	-1.95487	
0.158889	0.00015116	1.54607	0.00378705	-0.311152	0.0710474	-1.95481	
0.16	0.000155397	1.54572	0.00386651	-0.313324	0.0720311	-1.95473	
0.16	0.000155219	1.54572	0.00386618	-0.313324	0.0720313	-1.95473	
0.162	0.000162951	1.54509	0.00401024	-0.317234	0.0738156	-1.95459	
0.163	0.000167142	1.54477	0.00408629	-0.319188	0.0747202	-1.95452	
0.168	0.000188596	1.54315	0.00447142	-0.32896	0.0793074	-1.95416	
0.168889	0.000192741	1.54286	0.00454253	-0.330697	0.0801367	-1.95409	
0.17	0.000197822	1.54249	0.00463212	-0.332868	0.0811792	-1.95401	
0.17	0.000197633	1.54249	0.00463179	-0.332868	0.0811794	-1.95401	
0.172	0.000206896	1.54182	0.00479415	-0.336776	0.0830693	-1.95386	
0.173	0.000211893	1.54148	0.00487958	-0.33873	0.0840267	-1.95379	
0.178	0.000237436	1.53976	0.00531191	-0.348498	0.0888772	-1.9534	
0.178889	0.00024234	1.53945	0.00539153	-0.350234	0.0897531	-1.95333	
0.18	0.000248369	1.53906	0.00549185	-0.352404	0.0908539	-1.95324	
0.18	0.000248169	1.53906	0.00549152	-0.352404	0.0908541	-1.95324	
0.182	0.000259152	1.53836	0.00567323	-0.356311	0.092849	-1.95308	
0.183	0.000265052	1.538	0.00576857	-0.358264	0.0938587	-1.953	
0.188	0.000295168	1.53618	0.00625071	-0.368028	0.0989704	-1.95259	
0.188889	0.000300918	1.53585	0.00633932	-0.369763	0.0998926	-1.95251	
0.19	0.000308006	1.53544	0.00645093	-0.371933	0.101051	-1.95242	
0.19	0.000307794	1.53544	0.00645062	-0.371933	0.101052	-1.95242	
0.192	0.000320696	1.5347	0.00665272	-0.375837	0.10315	-1.95225	
0.193	0.000327601	1.53432	0.00675849	-0.377789	0.104212	-1.95216	
0.198	0.000362801	1.5324	0.00729304	-0.387549	0.109583	-1.95172	
0.198889	0.00036949	1.53206	0.00739111	-0.389284	0.110551	-1.95164	
0.2	0.000377753	1.53162	0.00751459	-0.391452	0.111767	-1.95154	
0.2	0.00037753	1.53162	0.00751428	-0.391452	0.111767	-1.95154	
0.202	0.000392558	1.53084	0.00773782	-0.395356	0.11397	-1.95135	
0.203	0.000400575	1.53044	0.00785454	-0.397307	0.115083	-1.95126	
0.208	0.000441397	1.52843	0.00844408	-0.407062	0.12071	-1.95079	
0.208889	0.000449122	1.52807	0.00855205	-0.408796	0.121724	-1.9507	
0.21	0.00045868	1.52761	0.00868798	-0.410963	0.122997	-1.9506	
0.21	0.000458446	1.52761	0.00868768	-0.410963	0.122997	-1.9506	
0.212	0.000475821	1.52679	0.00893367	-0.414864	0.125302	-1.9504	
0.213	0.000485062	1.52637	0.00906185	-0.416815	0.126466	-1.9503	
0.218	0.000532067	1.52426	0.00970894	-0.426565	0.132348	-1.9498	
0.218889	0.00054093	1.52388	0.00982728	-0.428298	0.133407	-1.94971	
0.22	0.000551911	1.5234	0.00997622	-0.430464	0.134736	-1.9496	
0.22	0.000551666	1.5234	0.00997592	-0.430464	0.134736	-1.9496	
0.222	0.000571618	1.52254	0.0102454	-0.434363	0.137142	-1.94939	
0.223	0.0005822	1.5221	0.0103855	-0.436313	0.138357	-1.94928	
0.228	0.000635977	1.5199	0.0110927	-0.446058	0.144491	-1.94875	
0.228889	0.000646082	1.5195	0.0112219	-0.44779	0.145594	-1.94866	
0.23	0.00065862	1.519	0.0113844	-0.449955	0.146979	-1.94853	
0.23	0.000658364	1.519	0.0113841	-0.449955	0.14698	-1.94853	
0.232	0.000681132	1.5181	0.011678	-0.453852	0.149486	-1.94831	
0.233	0.000693178	1.51764	0.0118307	-0.4558	0.15075	-1.9482	
0.238	0.00075434	1.51534	0.0126004	-0.46554	0.157134	-1.94764	
0.238889	0.000765798	1.51493	0.0127408	-0.467271	0.158282	-1.94753	
0.24	0.000780031	1.5144	0.0129175	-0.469435	0.159722	-1.94741	
0.24	0.000779764	1.5144	0.0129172	-0.469435	0.159722	-1.94741	
0.242	0.000805598	1.51347	0.0132366	-0.473329	0.162327	-1.94717	
0.243	0.000819234	1.51299	0.0134022	-0.475276	0.163641	-1.94705	
0.248	0.000888421	1.51059	0.014237	-0.48501	0.170272	-1.94645	
0.248889	0.000901347	1.51016	0.0143891	-0.48674	0.171463	-1.94635	
0.25	0.000917418	1.50961	0.0145804	-0.488903	0.172958	-1.94621	
0.25	0.00091714	1.50961	0.0145802	-0.488903	0.172958	-1.94621	
0.252	0.000946301	1.50864	0.0149261	-0.492795	0.175661	-1.94596	
0.253	0.000961659	1.50814	0.0151051	-0.494741	0.177024	-1.94584	
0.258	0.00103953	1.50564	0.0160075	-0.504468	0.183898	-1.9452	
0.258889	0.00105405	1.50519	0.0161717	-0.506197	0.185133	-1.94509	
0.26	0.00107211	1.50463	0.0163782	-0.508358	0.186681	-1.94494	
0.26	0.00107182	1.50463	0.016378	-0.508359	0.186682	-1.94494	
0.262	0.00110457	1.50361	0.0167513	-0.512248	0.189482	-1.94468	
0.263	0.00112179	1.50309	0.0169443	-0.514193	0.190893	-1.94455	
0.268	0.00120904	1.5005	0.0179166	-0.523914	0.198007	-1.94388	
0.268889	0.00122526	1.50003	0.0180934	-0.525642	0.199284	-1.94376	
0.27	0.00124546	1.49945	0.0183157	-0.527801	0.200886	-1.94361	
0.27	0.00124517	1.49945	0.0183154	-0.527801	0.200886	-1.94361	
0.272	0.0012818	1.49839	0.0187172	-0.531689	0.203782	-1.94333	
0.273	0.00130102	1.49785	0.0189246	-0.533632	0.205241	-1.94319	
0.278	0.00139835	1.49516	0.0199692	-0.543346	0.212592	-1.94248	
0.278889	0.00141641	1.49468	0.020159	-0.545072	0.213912	-1.94235	
0.28	0.00143892	1.49407	0.0203975	-0.54723	0.215566	-1.94219	
0.28	0.00143861	1.49407	0.0203973	-0.54723	0.215566	-1.94219	
0.282	0.0014794	1.49298	0.0208284	-0.551115	0.218556	-1.9419	
0.283	0.00150077	1.49242	0.0210507	-0.553056	0.220062	-1.94175	
0.288	0.00160892	1.48963	0.02217	-0.562763	0.227647	-1.941	
0.288889	0.00162895	1.48913	0.0223732	-0.564488	0.229007	-1.94087	
0.29	0.00165393	1.4885	0.0226285	-0.566645	0.230713	-1.9407	
0.29	0.00165361	1.4885	0.0226283	-0.566645	0.230714	-1.9407	
0.292	0.00169886	1.48737	0.0230897	-0.570526	0.233796	-1.94039	
0.293	0.00172253	1.48679	0.0233274	-0.572466	0.235348	-1.94024	
0.298	0.00184226	1.48391	0.0245237	-0.582166	0.243163	-1.93945	
0.298889	0.0018644	1.48339	0.0247406	-0.583889	0.244564	-1.9393	
0.3	0.00189201	1.48274	0.0250133	-0.586044	0.246321	-1.93913	
0.3	0.00189168	1.48274	0.0250131	-0.586044	0.246321	-1.93913	
0.302	0.00194171	1.48157	0.0255057	-0.589922	0.249495	-1.9388	
0.303	0.00196783	1.48097	0.0257592	-0.591861	0.251092	-1.93864	
0.308	0.00209993	1.47799	0.0270348	-0.601552	0.259134	-1.93781	
0.308889	0.00212431	1.47745	0.0272659	-0.603274	0.260575	-1.93766	
0.31	0.00215474	1.47678	0.0275565	-0.605427	0.262381	-1.93747	
0.31	0.0021544	1.47678	0.0275562	-0.605427	0.262381	-1.93747	
0.312	0.00220951	1.47557	0.028081	-0.609302	0.265645	-1.93713	
0.313	0.00223825	1.47496	0.0283507	-0.611239	0.267286	-1.93695	
0.318	0.0023835	1.47188	0.0297078	-0.620921	0.27555	-1.93608	
0.318889	0.00241028	1.47132	0.0299536	-0.622642	0.27703	-1.93592	
0.32	0.0024437	1.47063	0.0302624	-0.624793	0.278885	-1.93572	
0.32	0.00244335	1.47063	0.0302622	-0.624793	0.278886	-1.93572	
0.322	0.00250388	1.46938	0.03082	-0.628665	0.282237	-1.93536	
0.323	0.00253539	1.46875	0.0311064	-0.6306	0.283922	-1.93518	
0.328	0.00269464	1.46557	0.0325472	-0.640273	0.292403	-1.93425	
0.328889	0.00272395	1.465	0.032808	-0.641992	0.293921	-1.93409	
0.33	0.00276056	1.46428	0.0331356	-0.644141	0.295825	-1.93388	
0.33	0.0027602	1.46428	0.0331354	-0.644141	0.295825	-1.93388	
0.332	0.00282647	1.463	0.033727	-0.648009	0.299262	-1.9335	
0.333	0.00286094	1.46234	0.0340306	-0.649942	0.30099	-1.93331	
0.338	0.00303502	1.45907	0.0355573	-0.659606	0.309683	-1.93234	
0.338889	0.00306702	1.45848	0.0358334	-0.661324	0.31124	-1.93216	
0.34	0.003107	1.45775	0.0361803	-0.66347	0.31319	-1.93194	
0.34	0.00310663	1.45775	0.0361801	-0.663471	0.31319	-1.93194	
0.342	0.00317899	1.45642	0.0368065	-0.667334	0.316711	-1.93155	
0.343	0.00321658	1.45575	0.0371276	-0.669265	0.318481	-1.93134	
0.348	0.00340638	1.45238	0.0387423	-0.67892	0.327382	-1.93032	
0.348889	0.00344122	1.45177	0.0390341	-0.680635	0.328975	-1.93014	
0.35	0.00348476	1.45102	0.0394008	-0.68278	0.330971	-1.92991	
0.35	0.00348439	1.45102	0.0394006	-0.68278	0.330971	-1.92991	
0.352	0.00356319	1.44965	0.0400625	-0.68664	0.334574	-1.92949	
0.353	0.00360408	1.44896	0.0404016	-0.688569	0.336385	-1.92928	
0.358	0.00381047	1.44549	0.0421063	-0.698212	0.345488	-1.92821	
0.358889	0.00384832	1.44487	0.0424143	-0.699926	0.347116	-1.92801	
0.36	0.00389563	1.44409	0.0428011	-0.702068	0.349157	-1.92777	
0.36	0.00389524	1.44409	0.0428009	-0.702068	0.349157	-1.92777	
0.362	0.00398084	1.44269	0.0434992	-0.705924	0.35284	-1.92733	
0.363	0.00402522	1.44198	0.0438566	-0.707851	0.35469	-1.92711	
0.368	0.00424912	1.43841	0.0456534	-0.717483	0.36399	-1.92598	
0.368889	0.00429013	1.43777	0.0459778	-0.719195	0.365653	-1.92578	
0.37	0.00434141	1.43697	0.0463852	-0.721335	0.367737	-1.92552	
0.37	0.00434102	1.43697	0.046385	-0.721335	0.367737	-1.92552	
0.372	0.00443379	1.43553	0.0471205	-0.725186	0.371497	-1.92506	
0.373	0.00448183	1.4348	0.0474967	-0.72711	0.373386	-1.92483	
0.378	0.00472417	1.43114	0.0493874	-0.736732	0.382876	-1.92365	
0.378889	0.00476851	1.43049	0.0497286	-0.738441	0.384573	-1.92343	
0.38	0.00482397	1.42966	0.0501571	-0.740578	0.386699	-1.92316	
0.38	0.00482357	1.42966	0.0501569	-0.740578	0.386699	-1.92316	
0.382	0.00492388	1.42818	0.0509303	-0.744425	0.390534	-1.92268	
0.383	0.00497578	1.42743	0.0513256	-0.746347	0.39246	-1.92243	
0.388	0.0052375	1.42368	0.0533121	-0.755956	0.402135	-1.92119	
0.388889	0.00528535	1.42301	0.0536705	-0.757663	0.403864	-1.92097	
0.39	0.0053452	1.42216	0.0541204	-0.759798	0.40603	-1.92069	
0.39	0.00534479	1.42216	0.0541202	-0.759798	0.40603	-1.92069	
0.392	0.00545303	1.42064	0.0549323	-0.763639	0.409938	-1.92018	
0.393	0.00550898	1.41987	0.0553471	-0.765559	0.4119	-1.91992	
0.398	0.00579106	1.41602	0.0574313	-0.775155	0.421753	-1.91862	
0.398889	0.00584258	1.41533	0.057807	-0.77686	0.423513	-1.91838	
0.4	0.00590704	1.41447	0.0582788	-0.778992	0.425718	-1.91809	
0.4	0.00590662	1.41447	0.0582787	-0.778992	0.425718	-1.91809	
0.402	0.00602318	1.41291	0.0591301	-0.782828	0.429696	-1.91756	
0.403	0.00608337	1.41212	0.0595648	-0.784745	0.431692	-1.91728	
0.408	0.00638679	1.40818	0.0617483	-0.794328	0.441715	-1.91592	
0.408889	0.00644217	1.40747	0.0621419	-0.796031	0.443506	-1.91567	
0.41	0.00651145	1.40658	0.0626359	-0.798159	0.445748	-1.91536	
0.41	0.00651103	1.40658	0.0626357	-0.798159	0.445748	-1.91536	
0.412	0.0066363	1.40499	0.0635272	-0.80199	0.449793	-1.9148	
0.413	0.00670094	1.40418	0.0639821	-0.803904	0.451822	-1.91452	
0.418	0.0070267	1.40014	0.0662667	-0.813473	0.462008	-1.91309	
0.418889	0.0070861	1.39941	0.0666782	-0.815173	0.463828	-1.91283	
0.42	0.00716044	1.39851	0.0671949	-0.817298	0.466105	-1.9125	
0.42	0.00716001	1.39851	0.0671947	-0.817299	0.466105	-1.9125	
0.422	0.0072944	1.39687	0.0681269	-0.821124	0.470214	-1.91192	
0.423	0.00736369	1.39604	0.0686023	-0.823035	0.472274	-1.91162	
0.428	0.00771281	1.39191	0.0709895	-0.832589	0.482616	-1.91012	
0.428889	0.00777643	1.39117	0.0714194	-0.834287	0.484463	-1.90985	
0.43	0.00785605	1.39024	0.071959	-0.836409	0.486774	-1.90951	
0.43	0.00785561	1.39024	0.0719589	-0.836409	0.486774	-1.90951	
0.432	0.00799952	1.38856	0.0729324	-0.840228	0.490943	-1.90889	
0.433	0.00807367	1.38772	0.0734286	-0.842136	0.493034	-1.90858	
0.438	0.00844719	1.38348	0.07592	-0.851675	0.503523	-1.90701	
0.438889	0.0085152	1.38273	0.0763685	-0.85337	0.505395	-1.90672	
0.44	0.00860033	1.38178	0.0769313	-0.855488	0.507739	-1.90637	
0.44	0.00859988	1.38178	0.0769312	-0.855488	0.507739	-1.90637	
0.442	0.00875374	1.38007	0.0779467	-0.859301	0.511965	-1.90572	
0.443	0.00883296	1.3792	0.0784639	-0.861206	0.514083	-1.9054	
0.448	0.00923192	1.37487	0.0810609	-0.870729	0.524711	-1.90375	
0.448889	0.00930451	1.3741	0.0815282	-0.872421	0.526607	-1.90345	
0.45	0.00939539	1.37313	0.0821147	-0.874535	0.528981	-1.90308	
0.45	0.00939493	1.37313	0.0821146	-0.874536	0.528981	-1.90308	
0.452	0.00955916	1.37138	0.0831725	-0.878342	0.53326	-1.9024	
0.453	0.00964366	1.3705	0.0837111	-0.880243	0.535405	-1.90206	
0.458	0.0100691	1.36607	0.0864151	-0.889749	0.546162	-1.90033	
0.458889	0.0101465	1.36528	0.0869015	-0.891438	0.548081	-1.90002	
0.46	0.0102433	1.36429	0.0875118	-0.893549	0.550482	-1.89963	
0.46	0.0102429	1.36429	0.0875117	-0.893549	0.550483	-1.89963	
0.462	0.0104179	1.3625	0.0886126	-0.897349	0.554812	-1.89892	
0.463	0.0105079	1.3616	0.0891729	-0.899247	0.556981	-1.89856	
0.468	0.0109609	1.35708	0.091985	-0.908735	0.567858	-1.89675	
0.468889	0.0110433	1.35627	0.0924907	-0.91042	0.569797	-1.89643	
0.47	0.0111464	1.35526	0.0931251	-0.912527	0.572224	-1.89602	
0.47	0.0111459	1.35526	0.093125	-0.912528	0.572224	-1.89602	
0.472	0.0113321	1.35343	0.0942695	-0.91632	0.576599	-1.89528	
0.473	0.0114278	1.35251	0.0948515	-0.918214	0.578791	-1.8949	
0.478	0.0119095	1.3479	0.097773	-0.927684	0.589777	-1.893	
0.478889	0.011997	1.34707	0.0982981	-0.929366	0.591736	-1.89266	
0.48	0.0121066	1.34604	0.098957	-0.931469	0.594186	-1.89223	
0.48	0.0121061	1.34604	0.0989569	-0.931469	0.594186	-1.89223	
0.482	0.012304	1.34417	0.100145	-0.935253	0.598603	-1.89146	
0.483	0.0124057	1.34323	0.100749	-0.937144	0.600815	-1.89107	
0.488	0.0129171	1.33852	0.103781	-0.946594	0.6119	-1.88908	
0.488889	0.01301	1.33768	0.104326	-0.948273	0.613875	-1.88872	
0.49	0.0131262	1.33663	0.105009	-0.950372	0.616347	-1.88827	
0.49	0.0131258	1.33663	0.105009	-0.950372	0.616347	-1.88827	
0.492	0.0133358	1.33473	0.106242	-0.954148	0.620801	-1.88746	
0.493	0.0134436	1.33377	0.106868	-0.956035	0.623031	-1.88705	
0.498	0.0139859	1.32896	0.110012	-0.965465	0.634203	-1.88497	
0.498889	0.0140843	1.3281	0.110576	-0.96714	0.636194	-1.8846	
0.5	0.0142075	1.32703	0.111284	-0.969234	0.638684	-1.88413	
0.5	0.014207	1.32703	0.111284	-0.969234	0.638684	-1.88413	
0.502	0.0144296	1.32509	0.112562	-0.973002	0.64317	-1.88328	
0.503	0.0145438	1.32411	0.113211	-0.974884	0.645416	-1.88285	
0.508	0.0151181	1.31921	0.116466	-0.984293	0.656665	-1.88068	
0.508889	0.0152223	1.31834	0.11705	-0.985965	0.658668	-1.88028	
0.51	0.0153527	1.31724	0.117784	-0.988053	0.661173	-1.87979	
0.51	0.0153522	1.31724	0.117784	-0.988054	0.661174	-1.87979	
0.512	0.0155878	1.31527	0.119106	-0.991813	0.665688	-1.8789	
0.513	0.0157085	1.31427	0.119777	-0.993691	0.667947	-1.87845	
0.518	0.016316	1.30928	0.123145	-1.00308	0.679259	-1.87618	
0.518889	0.0164261	1.30839	0.12375	-1.00474	0.681273	-1.87577	
0.52	0.016564	1.30727	0.124508	-1.00683	0.683792	-1.87525	
0.52	0.0165635	1.30727	0.124508	-1.00683	0.683792	-1.87525	
0.522	0.0168125	1.30525	0.125876	-1.01058	0.688329	-1.87432	
0.523	0.0169401	1.30424	0.12657	-1.01245	0.690599	-1.87385	
0.528	0.0175818	1.29915	0.130051	-1.02182	0.701961	-1.87147	
0.528889	0.017698	1.29824	0.130676	-1.02348	0.703984	-1.87104	
0.53	0.0178436	1.29711	0.13146	-1.02556	0.706512	-1.8705	
0.53	0.0178431	1.29711	0.13146	-1.02556	0.706513	-1.8705	
0.532	0.018106	1.29506	0.132873	-1.0293	0.711067	-1.86953	
0.533	0.0182407	1.29402	0.13359	-1.03117	0.713345	-1.86903	
0.538	0.0189178	1.28884	0.137185	-1.04051	0.724745	-1.86654	
0.538889	0.0190404	1.28792	0.13783	-1.04216	0.726773	-1.8661	
0.54	0.0191939	1.28676	0.138639	-1.04424	0.729309	-1.86553	
0.54	0.0191934	1.28676	0.138639	-1.04424	0.729309	-1.86553	
0.542	0.0194707	1.28467	0.140097	-1.04797	0.733876	-1.86451	
