t	xWAG	bWAG	
0.13	0.00259007	-0.00209274	
0.13	0.00259007	-0.00209274	
0.132	0.00259006	-0.00209274	
0.133	0.00259006	-0.00209274	
0.138	0.00259006	-0.00209274	
0.138889	0.00259006	-0.00209274	
0.14	0.00259006	-0.00209274	
0.14	0.00259006	-0.00209274	
0.14	0.00259006	-0.00209274	
0.142	0.00259006	-0.00209274	
0.143	0.00259006	-0.00209274	
0.148	0.00259006	-0.00209274	
0.148889	0.00259006	-0.00209274	
0.15	0.00259006	-0.00209274	
0.15	0.00259006	-0.00209274	
0.141436	0.00259006	-0.00209274	
0.142153	0.00259006	-0.00209274	
0.145742	0.00259006	-0.00209274	
0.14638	0.00259006	-0.00209274	
0.147178	0.00259006	-0.00209274	
0.147178	0.00259006	-0.00209274	
0.147178	0.00259006	-0.00209274	
0.147742	0.00259006	-0.00209274	
0.148024	0.00259006	-0.00209274	
0.149436	0.00259006	-0.00209274	
0.149686	0.00259006	-0.00209274	
0.15	0.00259006	-0.00209274	
0.15	0.00259006	-0.00209274	
0.15	0.00259006	-0.00209274	
0.152	0.00259006	-0.00209274	
0.153	0.00259006	-0.00209274	
0.158	0.00259006	-0.00209274	
0.158889	0.00259006	-0.00209274	
0.16	0.00259006	-0.00209274	
0.16	0.00259006	-0.00209274	
0.16	0.00259006	-0.00209274	
0.162	0.00259006	-0.00209274	
0.163	0.00259006	-0.00209274	
0.168	0.00259005	-0.00209274	
0.168889	0.00259005	-0.00209274	
0.17	0.00259005	-0.00209274	
0.17	0.00259005	-0.00209274	
0.161453	0.00259006	-0.00209274	
0.162179	0.00259006	-0.00209274	
0.16581	0.00259005	-0.00209274	
0.166456	0.00259005	-0.00209274	
0.167263	0.00259005	-0.00209274	
0.167263	0.00259005	-0.00209274	
0.167263	0.00259005	-0.00209274	
0.16781	0.00259005	-0.00209274	
0.168084	0.00259005	-0.00209274	
0.169453	0.00259005	-0.00209274	
0.169696	0.00259005	-0.00209274	
0.17	0.00259005	-0.00209274	
0.17	0.00259005	-0.00209274	
0.17	0.00259005	-0.00209274	
0.172	0.00259005	-0.00209274	
0.173	0.00259005	-0.00209274	
0.178	0.00259005	-0.00209274	
0.178889	0.00259005	-0.00209273	
0.18	0.00259005	-0.00209273	
0.18	0.00259005	-0.00209273	
0.18	0.00259005	-0.00209273	
0.182	0.00259005	-0.00209273	
0.183	0.00259005	-0.00209273	
0.188	0.00259005	-0.00209273	
0.188889	0.00259005	-0.00209273	
0.19	0.00259004	-0.00209273	
0.19	0.00259005	-0.00209273	
0.18144	0.00259005	-0.00209273	
0.18216	0.00259005	-0.00209273	
0.185759	0.00259005	-0.00209273	
0.186399	0.00259005	-0.00209273	
0.187199	0.00259005	-0.00209273	
0.187199	0.00259005	-0.00209273	
0.187199	0.00259005	-0.00209273	
0.187759	0.00259005	-0.00209273	
0.188039	0.00259005	-0.00209273	
0.18944	0.00259005	-0.00209273	
0.189689	0.00259005	-0.00209273	
0.19	0.00259005	-0.00209273	
0.19	0.00259005	-0.00209273	
0.19	0.00259005	-0.00209273	
0.192	0.00259005	-0.00209273	
0.193	0.00259005	-0.00209273	
