0	-1.20815e-17	-4.21031e-32	-1.7849e-16	0	0	
0.001	-1.20884e-17	-5.49229e-07	-5.49229e-07	-0.00109846	-0.00109846	
0.002	-1.21153e-17	-2.14651e-06	-2.14651e-06	-0.00209611	-0.00209611	
0.003	-1.21415e-17	-4.69568e-06	-4.69568e-06	-0.00300221	-0.00300221	
0.004	-1.21778e-17	-8.10937e-06	-8.10937e-06	-0.00382516	-0.00382516	
0.005	-1.22038e-17	-1.23082e-05	-1.23082e-05	-0.00457259	-0.00457259	
0.006	-1.22424e-17	-1.72203e-05	-1.72203e-05	-0.00525143	-0.00525143	
0.007	-1.22795e-17	-2.278e-05	-2.278e-05	-0.00586797	-0.00586797	
0.008	-1.23169e-17	-2.89279e-05	-2.89279e-05	-0.00642794	-0.00642794	
0.009	-1.23597e-17	-3.56101e-05	-3.56101e-05	-0.00693651	-0.00693651	
0.01	-1.23932e-17	-4.27776e-05	-4.27776e-05	-0.00739842	-0.00739842	
0.011	-1.24153e-17	-5.03858e-05	-5.03858e-05	-0.00781794	-0.00781794	
0.012	-1.24409e-17	-5.83942e-05	-5.83942e-05	-0.00819896	-0.00819896	
0.013	-1.24728e-17	-6.67662e-05	-6.67662e-05	-0.00854501	-0.00854501	
0.014	-1.24973e-17	-7.54684e-05	-7.54684e-05	-0.00885931	-0.00885931	
0.015	-1.25357e-17	-8.44704e-05	-8.44704e-05	-0.00914476	-0.00914476	
0.016	-1.25767e-17	-9.37448e-05	-9.37448e-05	-0.00940402	-0.00940402	
0.017	-1.26027e-17	-0.000103267	-0.000103267	-0.00963948	-0.00963948	
0.018	-1.26064e-17	-0.000113013	-0.000113013	-0.00985334	-0.00985334	
0.019	-1.25914e-17	-0.000122963	-0.000122963	-0.0100476	-0.0100476	
0.02	-1.25813e-17	-0.000133099	-0.000133099	-0.010224	-0.010224	
0.021	-1.25666e-17	-0.000143403	-0.000143403	-0.0103842	-0.0103842	
0.022	-1.2565e-17	-0.00015386	-0.00015386	-0.0105297	-0.0105297	
0.023	-1.25547e-17	-0.000164456	-0.000164456	-0.0106619	-0.0106619	
0.024	-1.25307e-17	-0.000175178	-0.000175178	-0.0107819	-0.0107819	
0.025	-1.25113e-17	-0.000186014	-0.000186014	-0.0108909	-0.0108909	
0.026	-1.24905e-17	-0.000196955	-0.000196955	-0.01099	-0.01099	
0.027	-1.24506e-17	-0.00020799	-0.00020799	-0.0110799	-0.0110799	
0.028	-1.23943e-17	-0.00021911	-0.00021911	-0.0111616	-0.0111616	
0.029	-1.23067e-17	-0.000230309	-0.000230309	-0.0112357	-0.0112357	
0.03	-1.22024e-17	-0.000241579	-0.000241579	-0.0113031	-0.0113031	
0.031	-1.20714e-17	-0.000252912	-0.000252912	-0.0113643	-0.0113643	
0.032	-1.19134e-17	-0.000264304	-0.000264304	-0.0114199	-0.0114199	
0.033	-1.17599e-17	-0.000275749	-0.000275749	-0.0114703	-0.0114703	
0.034	-1.16068e-17	-0.000287243	-0.000287243	-0.0115162	-0.0115162	
0.035	-1.14614e-17	-0.00029878	-0.00029878	-0.0115578	-0.0115578	
0.036	-1.13313e-17	-0.000310356	-0.000310356	-0.0115956	-0.0115956	
0.037	-1.12086e-17	-0.000321969	-0.000321969	-0.01163	-0.01163	
