t	a1	a2	da1	da2	
0.07	0.000344858	-0.000704223	0.0226347	-0.0200423	
0.072	0.000390128	-0.000744308	0.0236975	-0.0206011	
0.073	0.000415154	-0.000765608	0.0241671	-0.0208785	
0.078	0.000540744	-0.000873433	0.0263694	-0.0222623	
0.0788889	0.000562481	-0.000893269	0.0266274	-0.0225059	
0.08	0.000592833	-0.000918456	0.027056	-0.0228115	
0.08	0.000595323	-0.000918541	0.0271996	-0.0228134	
0.082	0.000649722	-0.000964167	0.0279539	-0.0233629	
0.083	0.000678619	-0.000988217	0.028257	-0.0236355	
0.088	0.000822358	-0.00110976	0.0296856	-0.0249952	
0.0888889	0.000846277	-0.00113201	0.0298714	-0.0252348	
0.09	0.000879972	-0.00116023	0.0301131	-0.0255348	
0.09	0.000883456	-0.00116033	0.0301602	-0.025536	
0.092	0.000943777	-0.0012114	0.0305957	-0.0260754	
0.093	0.000974917	-0.00123815	0.0307467	-0.0263428	
0.098	0.00112933	-0.00137317	0.0314877	-0.0276768	
0.0988889	0.0011548	-0.00139779	0.0316257	-0.0279123	
0.1	0.00119013	-0.00142898	0.03172	-0.0282065	
0.1	0.00119365	-0.00142909	0.0316703	-0.028207	
0.102	0.00125699	-0.0014855	0.031856	-0.028736	
0.103	0.00128908	-0.0015149	0.0319049	-0.0289981	
0.108	0.00144843	-0.00166312	0.0322037	-0.0303062	
0.108889	0.00147514	-0.00169008	0.0323271	-0.0305374	
0.11	0.00151097	-0.00172418	0.0323455	-0.0308258	
0.11	0.00151365	-0.0017243	0.0322226	-0.0308258	
0.112	0.00157809	-0.00178595	0.0322807	-0.0313443	
0.113	0.00161045	-0.00181794	0.0322967	-0.0316013	
0.118	0.0017719	-0.00197912	0.0324747	-0.0328837	
0.118889	0.00179988	-0.00200837	0.0326139	-0.0331105	
0.12	0.00183586	-0.00204532	0.0326367	-0.0333932	
0.12	0.00183713	-0.00204543	0.0324818	-0.033393	
0.122	0.00190209	-0.00211222	0.032549	-0.0339013	
0.123	0.00193473	-0.00214675	0.0325988	-0.0341532	
0.128	0.00209864	-0.00232063	0.0329566	-0.03541	
0.128889	0.00212818	-0.00235212	0.0331305	-0.0356322	
0.13	0.00216469	-0.00239188	0.0332236	-0.0359092	
0.13	0.00216445	-0.00239198	0.0330824	-0.0359091	
0.132	0.00223061	-0.0024638	0.0332701	-0.0364072	
0.133	0.00226412	-0.00250083	0.0334	-0.0366539	
0.138	0.00243339	-0.00268714	0.0341373	-0.0378846	
0.138889	0.00246487	-0.00272084	0.0343515	-0.0381018	
0.14	0.00250283	-0.00276333	0.0345502	-0.038373	
0.14	0.0025014	-0.00276344	0.0344583	-0.0383732	
0.142	0.00257031	-0.00284019	0.0348257	-0.0388607	
0.143	0.0026056	-0.00287966	0.035052	-0.0391019	
0.148	0.00278445	-0.00307814	0.0362305	-0.0403049	
0.148889	0.00281825	-0.00311398	0.0364782	-0.0405167	
