 % t	theta1	theta2	psi	y	z	
0.086	1.51488	1.82122	-0.0208365	0.197821	0.10807	
0.087	1.51523	1.82166	-0.0213235	0.197608	0.107954	
0.088	1.51558	1.8221	-0.0218162	0.197391	0.107835	
0.089	1.51594	1.82255	-0.0223145	0.197173	0.107716	
0.09	1.5163	1.823	-0.0228184	0.196952	0.107595	
0.091	1.51666	1.82345	-0.023328	0.196728	0.107473	
0.092	1.51703	1.82391	-0.0238432	0.196502	0.10735	
0.093	1.5174	1.82438	-0.024364	0.196273	0.107225	
0.094	1.51778	1.82485	-0.0248904	0.196042	0.107098	
0.095	1.51816	1.82533	-0.0254225	0.195809	0.106971	
0.096	1.51854	1.82581	-0.0259602	0.195573	0.106842	
0.097	1.51893	1.8263	-0.0265036	0.195335	0.106712	
0.098	1.51932	1.82679	-0.0270525	0.195094	0.10658	
0.099	1.51972	1.82728	-0.0276072	0.19485	0.106447	
0.1	1.52012	1.82779	-0.0281674	0.194605	0.106313	
0.101	1.52052	1.82829	-0.0287333	0.194356	0.106177	
0.102	1.52093	1.8288	-0.0293048	0.194105	0.10604	
0.103	1.52134	1.82932	-0.029882	0.193852	0.105902	
0.104	1.52176	1.82984	-0.0304648	0.193596	0.105762	
0.105	1.52218	1.83037	-0.0310532	0.193338	0.105621	
0.106	1.52261	1.8309	-0.0316473	0.193078	0.105479	
0.107	1.52304	1.83144	-0.032247	0.192814	0.105335	
0.108	1.52347	1.83198	-0.0328523	0.192549	0.10519	
0.109	1.5239	1.83252	-0.0334633	0.192281	0.105043	
0.11	1.52435	1.83308	-0.0340799	0.19201	0.104896	
0.111	1.52479	1.83363	-0.0347022	0.191737	0.104746	
0.112	1.52524	1.83419	-0.0353301	0.191462	0.104596	
0.113	1.52569	1.83476	-0.0359637	0.191184	0.104444	
0.114	1.52615	1.83533	-0.0366029	0.190903	0.104291	
0.115	1.52661	1.83591	-0.0372477	0.19062	0.104136	
0.116	1.52708	1.83649	-0.0378982	0.190335	0.10398	
0.117	1.52754	1.83708	-0.0385544	0.190047	0.103823	
0.118	1.52802	1.83767	-0.0392162	0.189756	0.103664	
0.119	1.52849	1.83826	-0.0398836	0.189464	0.103504	
0.12	1.52898	1.83886	-0.0405567	0.189168	0.103343	
0.121	1.52946	1.83947	-0.0412354	0.18887	0.10318	
0.122	1.52995	1.84008	-0.0419198	0.18857	0.103016	
0.123	1.53044	1.8407	-0.0426098	0.188267	0.102851	
0.124	1.53094	1.84132	-0.0433055	0.187962	0.102684	
0.125	1.53144	1.84195	-0.0440069	0.187654	0.102516	
0.126	1.53195	1.84258	-0.0447139	0.187344	0.102347	
0.127	1.53246	1.84321	-0.0454265	0.187031	0.102176	
0.128	1.53297	1.84385	-0.0461448	0.186716	0.102004	
0.129	1.53349	1.8445	-0.0468688	0.186399	0.10183	
0.13	1.53401	1.84515	-0.0475984	0.186078	0.101655	
0.131	1.53454	1.84581	-0.0483337	0.185756	0.101479	
0.132	1.53507	1.84647	-0.0490747	0.185431	0.101301	
0.133	1.5356	1.84714	-0.0498213	0.185103	0.101122	
0.134	1.53614	1.84781	-0.0505735	0.184773	0.100942	
0.135	1.53668	1.84848	-0.0513315	0.18444	0.10076	
0.136	1.53723	1.84916	-0.0520951	0.184105	0.100577	
0.137	1.53778	1.84985	-0.0528643	0.183768	0.100393	
0.138	1.53834	1.85054	-0.0536392	0.183428	0.100207	
0.139	1.53889	1.85124	-0.0544198	0.183085	0.10002	
0.14	1.53946	1.85194	-0.0552061	0.18274	0.0998314	
0.141	1.54002	1.85264	-0.055998	0.182393	0.0996416	
0.142	1.54059	1.85336	-0.0567956	0.182043	0.0994504	
0.143	1.54117	1.85407	-0.0575989	0.18169	0.0992578	
0.144	1.54175	1.85479	-0.0584079	0.181335	0.0990639	
0.145	1.54233	1.85552	-0.0592225	0.180978	0.0988686	
0.146	1.54292	1.85625	-0.0600428	0.180618	0.098672	
0.147	1.54351	1.85699	-0.0608688	0.180255	0.098474	
0.148	1.54411	1.85773	-0.0617004	0.179891	0.0982746	
0.149	1.54471	1.85847	-0.0625378	0.179523	0.0980739	
0.15	1.54531	1.85922	-0.0633808	0.179153	0.0978718	
0.151	1.54592	1.85998	-0.0642295	0.178781	0.0976684	
0.152	1.54653	1.86074	-0.0650839	0.178406	0.0974636	
0.153	1.54715	1.86151	-0.0659439	0.178029	0.0972574	
