 % t	theta1	theta2	theta3	
0.541	-0.582539	0.144056	2.48055	
0.542	-0.578451	0.139307	2.48152	
0.543	-0.574353	0.134541	2.48249	
0.544	-0.570246	0.12976	2.48346	
0.545	-0.56613	0.124962	2.48443	
0.546	-0.562004	0.120149	2.48539	
0.547	-0.557869	0.115319	2.48635	
0.548	-0.553725	0.110473	2.48731	
0.549	-0.549572	0.105612	2.48827	
0.55	-0.54541	0.100734	2.48922	
0.551	-0.541239	0.0958398	2.49016	
0.552	-0.53706	0.0909299	2.49111	
0.553	-0.532871	0.0860039	2.49205	
0.554	-0.528673	0.0810619	2.49299	
0.555	-0.524467	0.076104	2.49392	
0.556	-0.520251	0.0711301	2.49485	
0.557	-0.516027	0.0661403	2.49578	
0.558	-0.511795	0.0611345	2.4967	
0.559	-0.507554	0.0561129	2.49762	
0.56	-0.503305	0.0510754	2.49853	
0.561	-0.499047	0.0460222	2.49944	
0.562	-0.49478	0.0409531	2.50035	
0.563	-0.490506	0.0358683	2.50125	
0.564	-0.486223	0.0307678	2.50215	
0.565	-0.481932	0.0256517	2.50304	
0.566	-0.477633	0.02052	2.50393	
0.567	-0.473326	0.0153727	2.50481	
0.568	-0.469012	0.0102099	2.50569	
0.569	-0.464689	0.00503164	2.50657	
0.57	-0.460358	-0.000161998	2.50744	
0.571	-0.45602	-0.00537096	2.5083	
0.572	-0.451675	-0.0105952	2.50916	
0.573	-0.447322	-0.0158346	2.51001	
0.574	-0.442961	-0.0210892	2.51086	
0.575	-0.438593	-0.0263588	2.5117	
0.576	-0.434218	-0.0316434	2.51254	
0.577	-0.429836	-0.0369429	2.51337	
0.578	-0.425446	-0.0422573	2.5142	
0.579	-0.42105	-0.0475864	2.51502	
0.58	-0.416647	-0.0529301	2.51584	
0.581	-0.412237	-0.0582884	2.51665	
0.582	-0.407821	-0.0636612	2.51745	
0.583	-0.403398	-0.0690483	2.51824	
0.584	-0.398968	-0.0744498	2.51904	
0.585	-0.394533	-0.0798654	2.51982	
0.586	-0.390091	-0.085295	2.5206	
0.587	-0.385643	-0.0907387	2.52137	
0.588	-0.381189	-0.0961962	2.52213	
0.589	-0.376729	-0.101667	2.52289	
0.59	-0.372263	-0.107152	2.52364	
0.591	-0.367792	-0.112651	2.52439	
0.592	-0.363315	-0.118162	2.52513	
0.593	-0.358832	-0.123687	2.52586	
0.594	-0.354345	-0.129225	2.52658	
0.595	-0.349852	-0.134776	2.5273	
0.596	-0.345354	-0.14034	2.52801	
0.597	-0.340851	-0.145917	2.52871	
0.598	-0.336344	-0.151506	2.5294	
0.599	-0.331832	-0.157108	2.53009	
0.6	-0.327315	-0.162722	2.53077	
0.601	-0.322794	-0.168348	2.53144	
0.602	-0.318268	-0.173985	2.5321	
0.603	-0.313739	-0.179635	2.53276	
0.604	-0.309205	-0.185297	2.53341	
0.605	-0.304668	-0.19097	2.53405	
0.606	-0.300126	-0.196654	2.53468	
0.607	-0.295581	-0.202349	2.5353	
0.608	-0.291033	-0.208056	2.53592	
