0	0	0	0	0	
0.001	1.41305e-07	-1.44783e-07	0.00028261	-0.000289566	
0.002	5.651e-07	-5.79122e-07	0.00056498	-0.000579113	
0.003	1.27108e-06	-1.303e-06	0.000846974	-0.000868638	
0.004	2.2588e-06	-2.31638e-06	0.00112847	-0.00115813	
0.005	3.52772e-06	-3.61925e-06	0.00140937	-0.0014476	
0.006	5.07719e-06	-5.21156e-06	0.00168958	-0.00173702	
0.007	6.9065e-06	-7.09326e-06	0.00196903	-0.0020264	
0.008	9.01485e-06	-9.26432e-06	0.00224768	-0.00231572	
0.009	1.14015e-05	-1.17247e-05	0.00252552	-0.002605	
0.01	1.40655e-05	-1.44743e-05	0.00280254	-0.00289421	
0.011	1.70061e-05	-1.75131e-05	0.00307876	-0.00318336	
0.012	2.02226e-05	-2.0841e-05	0.00335425	-0.00347245	
0.013	2.37143e-05	-2.44579e-05	0.00362905	-0.00376146	
0.014	2.74804e-05	-2.83639e-05	0.00390326	-0.00405039	
0.015	3.15205e-05	-3.25587e-05	0.00417697	-0.00433925	
0.016	3.58342e-05	-3.70423e-05	0.00445029	-0.00462802	
0.017	4.0421e-05	-4.18147e-05	0.00472334	-0.0049167	
0.018	4.52808e-05	-4.68757e-05	0.00499624	-0.0052053	
0.019	5.04135e-05	-5.22252e-05	0.00526912	-0.0054938	
0.02	5.58191e-05	-5.78632e-05	0.00554207	-0.0057822	
0.021	6.14977e-05	-6.37896e-05	0.00581523	-0.00607049	
0.022	6.74497e-05	-7.00041e-05	0.00608869	-0.00635868	
0.023	7.36753e-05	-7.65069e-05	0.00636254	-0.00664676	
0.024	8.0175e-05	-8.32976e-05	0.00663684	-0.00693473	
0.025	8.69492e-05	-9.03763e-05	0.00691167	-0.00722258	
0.026	9.39986e-05	-9.77427e-05	0.00718704	-0.0075103	
0.027	0.000101324	-0.000105397	0.00746298	-0.0077979	
0.028	0.000108925	-0.000113338	0.00773949	-0.00808536	
0.029	0.000116803	-0.000121567	0.00801655	-0.00837269	
0.03	0.000124958	-0.000130084	0.0082941	-0.00865987	
0.031	0.000133391	-0.000138887	0.0085721	-0.00894691	
0.032	0.000142103	-0.000147977	0.00885047	-0.0092338	
0.033	0.000151092	-0.000157355	0.00912912	-0.00952053	
0.034	0.000160361	-0.000167018	0.00940796	-0.00980711	
