t	a1	a2	da1	da2	
0.1	0.00137404	-0.001427	0.0271693	-0.0281443	
0.101	0.00140134	-0.00145528	0.0274305	-0.02841	
0.102	0.00142891	-0.00148382	0.0276921	-0.0286752	
0.103	0.00145673	-0.00151263	0.027954	-0.0289399	
0.104	0.00148481	-0.0015417	0.0282162	-0.0292042	
0.105	0.00151316	-0.00157104	0.0284787	-0.029468	
0.106	0.00154177	-0.00160064	0.0287412	-0.0297314	
0.107	0.00157064	-0.0016305	0.0290038	-0.0299942	
0.108	0.00159978	-0.00166062	0.0292663	-0.0302566	
0.109	0.00162918	-0.00169101	0.0295285	-0.0305185	
0.11	0.00165884	-0.00172166	0.0297904	-0.0307799	
0.111	0.00168876	-0.00175257	0.0300517	-0.0310408	
0.112	0.00171894	-0.00178374	0.0303124	-0.0313012	
0.113	0.00174938	-0.00181517	0.0305724	-0.031561	
0.114	0.00178008	-0.00184686	0.0308316	-0.0318204	
0.115	0.00181104	-0.00187881	0.0310898	-0.0320793	
0.116	0.00184226	-0.00191102	0.031347	-0.0323376	
0.117	0.00187374	-0.00194349	0.0316031	-0.0325954	
0.118	0.00190547	-0.00197621	0.0318581	-0.0328527	
0.119	0.00193745	-0.00200919	0.0321121	-0.0331094	
0.12	0.00196969	-0.00204243	0.0323649	-0.0333656	
0.121	0.00200218	-0.00207592	0.0326167	-0.0336212	
0.122	0.00203492	-0.00210967	0.0328674	-0.0338763	
0.123	0.00206792	-0.00214368	0.0331172	-0.0341309	
0.124	0.00210116	-0.00217793	0.0333662	-0.0343849	
0.125	0.00213465	-0.00221245	0.0336143	-0.0346383	
0.126	0.00216839	-0.00224721	0.0338619	-0.0348912	
0.127	0.00220237	-0.00228223	0.0341089	-0.0351435	
0.128	0.0022366	-0.0023175	0.0343555	-0.0353953	
0.129	0.00227108	-0.00235302	0.0346018	-0.0356465	
0.13	0.00230581	-0.00238879	0.034848	-0.0358971	
0.131	0.00234078	-0.00242481	0.0350941	-0.0361471	
0.132	0.002376	-0.00246108	0.0353402	-0.0363966	
0.133	0.00241146	-0.00249761	0.0355864	-0.0366454	
0.134	0.00244717	-0.00253437	0.0358329	-0.0368937	
0.135	0.00248312	-0.00257139	0.0360796	-0.0371414	
0.136	0.00251933	-0.00260866	0.0363265	-0.0373885	
0.137	0.00255578	-0.00264617	0.0365738	-0.037635	
0.138	0.00259248	-0.00268393	0.0368213	-0.0378809	
0.139	0.00262942	-0.00272193	0.037069	-0.0381262	
0.14	0.00266661	-0.00276018	0.0373169	-0.0383709	
0.141	0.00270405	-0.00279867	0.037565	-0.038615	
0.142	0.00274174	-0.00283741	0.037813	-0.0388584	
0.143	0.00277968	-0.00287639	0.038061	-0.0391013	
0.144	0.00281787	-0.00291561	0.0383088	-0.0393435	
0.145	0.0028563	-0.00295508	0.0385563	-0.039585	
0.146	0.00289498	-0.00299478	0.0388033	-0.039826	
0.147	0.0029339	-0.00303473	0.0390498	-0.0400663	
0.148	0.00297308	-0.00307491	0.0392956	-0.0403059	
0.149	0.0030125	-0.00311534	0.0395406	-0.0405449	
0.15	0.00305216	-0.003156	0.0397847	-0.0407833	
0.151	0.00309206	-0.0031969	0.0400279	-0.0410209	
0.152	0.00313221	-0.00323804	0.0402699	-0.041258	
0.153	0.0031726	-0.00327942	0.0405109	-0.0414943	
0.154	0.00321323	-0.00332103	0.0407506	-0.04173	
0.155	0.0032541	-0.00336288	0.0409893	-0.041965	
0.156	0.00329521	-0.00340496	0.0412267	-0.0421993	
0.157	0.00333656	-0.00344728	0.041463	-0.042433	
0.158	0.00337814	-0.00348983	0.0416981	-0.0426659	
0.159	0.00341995	-0.00353261	0.0419323	-0.0428982	
0.16	0.003462	-0.00357562	0.0421654	-0.0431298	
0.161	0.00350428	-0.00361887	0.0423977	-0.0433606	
